full_alias
00-0-C-005
00-0-C-006
CN-ALVI-A-001
CN-ALVI-A-016
CN-ALVI-N-039
CN-ALVI-N-040
CN-ALVI-N-075
CN-ALVI-O-068
CN-APOS-AJ-212
CN-APOS-B-086
CN-APOS-C-312
CN-APOS-F-363
CN-APOS-H-012
CN-APOS-I-046
CN-APOS-I-047
CN-APOS-I-070
CN-APOS-M-245
CN-APOS-Q-236
CN-APOS-Q-238
CN-APOS-Q-239
CN-APOS-Q-240
CN-APOS-R-024
CN-APOS-R-211
CN-BIRI-B-218
CN-BIRI-B-226
CN-BIRI-S-154
CN-BRAZ-B-032
CN-CANC-A-105
CN-CANC-K-010
CN-CANC-K-104
CN-CHIO-B-051
CN-CHIO-B-052
CN-CHIO-B-053
CN-CHIO-B-054
CN-CHIO-B-055
CN-CHIO-B-056
CN-CHIO-B-058
CN-CHIO-B-059
CN-FELI-D-012
CN-FELI-D-013
CN-FELI-D-014
CN-FELI-D-025
CN-FELI-D-026
CN-FELI-D-027
CN-FELI-D-031
CN-FOSC-E-011
CN-FOSC-G-032
CN-FOSC-G-034
CN-GERE-A-046
CN-GERE-A-047
CN-GERE-B-003
CN-GERE-C-037
CN-GERE-C-105
CN-GERE-C-156
CN-GERE-C-157
CN-GERE-C-158
CN-GERE-C-159
CN-GERE-C-160
CN-GERE-D-018
CN-GERE-D-019
CN-GERE-D-023
CN-GERE-D-043
CN-GERE-I-146
CN-GERE-I-290
CN-GERE-I-297
CN-GERE-I-298
CN-GERE-I-299
CN-GERE-I-300
CN-GERE-I-301
CN-GERE-I-303
CN-GERE-I-395
CN-GERE-I-404
CN-GERE-M-352
CN-GERE-N-364
CN-GERE-N-365
CN-GERE-N-367
CN-GERE-N-369
CN-GERE-N-371
CN-GERE-N-400
CN-GESU-A-094
CN-GESU-A-095
CN-GESU-A-096
CN-GESU-A-098
CN-GESU-D-029
CN-GESU-D-035
CN-GESU-D-049
CN-GESU-D-050
CN-GESU-D-051
CN-GESU-D-052
CN-GESU-D-053
CN-GESU-D-054
CN-GESU-D-055
CN-GESU-D-056
CN-GESU-D-057
CN-GESU-D-077
CN-GESU-D-103
CN-GHET-A-012
CN-GHET-A-014
CN-GHET-A-015
CN-GIOB-B-003
CN-GIOB-B-004
CN-GIOB-B-023
CN-GIOB-B-024
CN-GIOB-B-027
CN-GIOB-B-028
