EANL_Tipo_impianto,Cat_Tariffa,Nuclei_domestici,Nuclei_commerciali,Nuclei_non_residenti,Condominio,Componenti,Località,ProccessedVia,ProcessedAddress,Consumo_medio_2020,Consumo_medio_2021,Consumo_medio_2022,Consumo_medio_2023,Consumo_medio_2024
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1059A,2.4,2.4,0.26,3.39,0.92
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1052,4.16,4.16,3.01,4.72,5.48
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2697D,2.32,2.32,3.49,2.24,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1050,7.17,7.17,0.0,1.74,2.04
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1049,3.42,3.42,1.05,2.04,4.13
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1049,3.56,3.56,0.68,1.92,5.2
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1047,0.48,0.48,0.09,0.0,0.12
,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1047,0.0,0.0,1.94,1.08,4.14
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1065,5.28,5.28,2.37,1.56,1.56
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4226,1.98,1.98,0.73,1.06,2.1
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1042A,11.02,11.02,14.18,15.47,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2716,1.74,1.74,1.41,17.51,17.74
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1040,2.0,2.0,0.54,1.65,6.9
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1072,1.6,1.6,9.69,9.58,7.29
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2352A,2.32,2.32,0.0,0.19,0.57
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3721,4.94,4.94,4.79,4.31,5.93
,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1037,0.0,0.0,0.1,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1075,0.79,0.79,1.19,3.27,4.15
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1036,1.38,1.38,1.61,2.9,2.9
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2716,0.31,0.31,0.06,0.08,0.25
