short_alias,Number of Doorbells,Number of Floors,Additional Notes,Floor 0,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Floor 6,Floor 7
ZACC-056,,,,,,,,,,,
ZACC-057,2,3,,,Open,Open,,,,,
ZACC-058,3,2,appartamenti vacazione,,Closed (Good),,,,,,
ZACC-059,6,3,LT,,Closed (Bad),Closed (Bad),,,,,
ZACC-060,1,4,hotel,,,,,,,,
ZACC-061,3,4,,,Open,Closed (Mid),Open,,,,
ZACC-062,3,3,,,,,,,,,
ZACC-063,8,5,,,Closed (Good),Open,Closed (Good),Closed (Good),,,
ZACC-064,12,5,3x LT,,Closed (Good),Closed (Good),Closed (Good),Open,,,
ZACC-065,5,4,,,Open,Open,Open,,,,
ZACC-066,0,2,,,Open,,,,,,
ZACC-067,1,4,1 bell for hotel + restaurant,,Open,Open,Open,,,,
ZACC-068,7,3,"hotel, 2x LT",,Open,Open,,,,,
ZACC-069,0,1,,,,,,,,,
ZACC-072,0,5,Hotel,,Open,Open,Open,Open,,,
ZACC-073,9,5,,,,,Open,,,,
