TARGET_FID_12_13,Full_sesti,Codice_1
188,CN1355,LEON
188,CN1354,LEON
191,CN1393B,LEON
191,CN1394,LEON
193,CN1360A,LEON
193,CN1360B,LEON
193,CN1360,LEON
194,CN1361C,LEON
194,CN1361B,LEON
195,CN1326,LEON
195,CN1328,LEON
195,CN1329,LEON
195,CN1330,LEON
195,CN1331,LEON
195,CN1327,LEON
196,CN613A,GIOB
197,CN611,GIOB
197,CN602,GIOB
197,CN608,GIOB
197,CN609,GIOB
197,CN599,GIOB
197,CN601,GIOB
197,CN598,GIOB
197,CN613,GIOB
197,CN603,GIOB
197,CN589,GIOB
197,CN593,GIOB
197,CN594,GIOB
197,CN587,GIOB
197,CN592,GIOB
197,CN606,GIOB
197,CN588,GIOB
197,CN607,GIOB
197,CN595,GIOB
197,CN581,GIOB
197,CN596,GIOB
197,CN597,GIOB
197,CN600,GIOB
197,CN590,GIOB
197,CN579A,GIOB
197,CN591,GIOB
197,CN604,GIOB
197,CN585,GIOB
197,CN582,GIOB
197,CN583,GIOB
197,CN584,GIOB
197,CN605,GIOB
197,CN612,GIOB
197,CN575,GIOB
197,CN576,GIOB
197,CN586,GIOB
197,CN580,GIOB
197,CN578,GIOB
197,CN579,GIOB
197,CN610,GIOB
198,CN562,GERE
199,CN563B,GERE
199,CN563A,GERE
200,CN563E,GERE
204,CN538,GERE
205,CN537,GERE
206,CN536A,GERE
209,CN522,GERE
209,CN522B,GERE
209,CN522A,GERE
212,CN517A,GERE
212,CN517B,GERE
212,CN517,GERE
213,CN518A,GERE
213,CN518,GERE
214,CN531A,GERE
214,CN531,GERE
215,CN534A,GERE
215,CN532A,GERE
215,CN532,GERE
215,CN534,GERE
215,CN533,GERE
216,CN536,GERE
216,CN535,GERE
216,CN535A,GERE
221,CN547,GERE
221,CN545,GERE
221,CN546,GERE
222,CN548,GERE
222,CN550A,GERE
222,CN548B,GERE
222,CN550,GERE
222,CN549,GERE
222,CN548A,GERE
223,CN552,GERE
223,CN551,GERE
224,CN514,GERE
224,CN516,GERE
224,CN515,GERE
225,CN511,GERE
225,CN512,GERE
225,CN510,GERE
226,CN505,GERE
226,CN503,GERE
226,CN506,GERE
227,CN509,GERE
227,CN508,GERE
229,CN499,GERE
229,CN498,GERE
229,CN520,GERE
229,CN500,GERE
229,CN521,GERE
231,CN485A,GERE
232,CN491,GERE
232,CN490,GERE
233,CN477A,GERE
234,CN470,GERE
234,CN477,GERE
235,CN467,GERE
235,CN468,GERE
236,CN466,GERE
236,CN464,GERE
236,CN465,GERE
238,CN458B,GERE
238,CN459A,GERE
238,CN459,GERE
