TARGET_FID_12_13,Full_sesti,Codice_1
4841,SP1240,SILV
4841,SP1021A,SILV
4841,SP1236,SILV
4841,SP1239,SILV
4841,SP1238,SILV
4841,SP1237,SILV
4843,CN5419A,BIRI
4843,CN5419C,BIRI
4843,CN5419,BIRI
4843,CN5419B,BIRI
4844,SP1234,SILV
4844,SP1021B,SILV
4844,SP1233,SILV
4846,CN5404A,BIRI
4846,CN5404B,BIRI
4846,CN5404,BIRI
4846,CN5403,BIRI
4847,SP1231,SILV
4847,SP1232,SILV
4847,SP1222,SILV
4849,CN5405A,BIRI
4849,CN5406,BIRI
4849,CN5405,BIRI
4850,SP1224,SILV
4850,SP1230,SILV
4850,SP1228A,SILV
4850,SP1223,SILV
4851,CN5656,CANC
4851,CN5657,CANC
4852,CN5414,BIRI
4852,CN5415,BIRI
4852,CN5416,BIRI
4852,CN5407,BIRI
4853,SP1228,SILV
4853,SP1226,SILV
4853,SP1227,SILV
4853,SP1225,SILV
4854,CN5533,CANC
4854,CN5532,CANC
4856,SP1219,SILV
4856,SP1221,SILV
4856,SP1220,SILV
4857,CN5530,CANC
4857,CN5531,CANC
4858,CN5410,BIRI
4858,CN5408,BIRI
4858,CN5411,BIRI
4858,CN5409,BIRI
4858,CN5408A,BIRI
4859,SP1218,SILV
4860,CN6064,CANC
4860,CN6063,CANC
4860,CN6062,CANC
4860,CN6061,CANC
4862,SP1213B,SILV
4862,SP1213A,SILV
4862,SP1215,SILV
4862,SP1213,SILV
4863,CN6100A,MIRA
4866,SP1212,SILV
4867,CN5394A,BIRI
4867,CN5395,BIRI
4867,CN5396,BIRI
4867,CN5395A,BIRI
4868,CS5660A,FAVA
4868,CS5661,FAVA
4869,SP1191,SILV
4869,SP1191A,SILV
4870,SP1193,SILV
4870,SP1192,SILV
4871,CN5396A,BIRI
4871,CN5397,BIRI
4871,CN5398A,BIRI
4871,CN5398,BIRI
4872,SP302,SILV
4874,SP306,SILV
4874,SP307,SILV
4875,SP1185,SILV
4875,SP1186,SILV
4878,SP1183,SILV
4881,SP1158,SILV
4881,SP1159,SILV
4881,SP1161,SILV
4881,SP1160,SILV
4881,SP1161A,SILV
4883,SP1156,SILV
4883,SP1163,SILV
4883,SP1157,SILV
4883,SP1162,SILV
4886,SP1165,SILV
4886,SP1155,SILV
4886,SP1152,SILV
4886,SP1166,SILV
4886,SP1154,SILV
4886,SP1164,SILV
4888,SP1167,SILV
4888,SP1151,SILV
4888,SP1168,SILV
4888,SP1151A,SILV
4890,SP1169,SILV
4890,SP1149,SILV
4890,SP1148,SILV
4890,SP1150,SILV
4892,SP1126,SILV
4892,SP1125,SILV
4892,SP1147,SILV
4894,SP1127,SILV
4894,SP1129,SILV
4894,SP1145,SILV
4894,SP1144,SILV
4894,SP1146,SILV
4894,SP1127A,SILV
4894,SP1128,SILV
4896,SP1129A,SILV
4896,SP1143,SILV
4896,SP1130,SILV
4896,SP1142,SILV
4897,SP1131,SILV
4897,SP1140A,SILV
4897,SP1140,SILV
4897,SP1141,SILV
4899,SP1065,SILV
4899,SP1066,SILV
4899,SP1081A,SILV
4899,SP1079,SILV
4899,SP1080,SILV
4899,SP1067,SILV
4899,SP1081,SILV
4899,SP1078,SILV
4900,CN6223,PANA
4901,SP1083,SILV
4901,SP1082,SILV
4902,CN6224,PANA
4903,CN6225,PANA
4904,SP1085,SILV
4904,SP1084,SILV
4904,SP1086,SILV
4905,CN6227A,PANA
4905,CN6226,PANA
4905,CN6227,PANA
4906,SP1089,SILV
4906,SP1088,SILV
4906,SP1087,SILV
4907,CN6140B,PANA
4907,CN6140,PANA
4907,CN6139,PANA
4907,CN6138,PANA
4907,CN6140A,PANA
4907,CN6139A,PANA
4908,CN6217,PANA
4908,CN6216A,PANA
4908,CN6217A,PANA
4908,CN6216B,PANA
4908,CN6218,PANA
4909,SP1054,SILV
4909,SP1090,SILV
4909,SP1091,SILV
4909,SP1054A,SILV
4910,CN6352B,PANA
4910,CN6351,PANA
4910,CN6352A,PANA
4910,CN6352,PANA
4911,SP1055,SILV
4911,SP1056,SILV
4912,CN6356A,PANA
4912,CN6357,PANA
4913,SP1092A,SILV
4913,SP1092,SILV
4914,CN6359C,PANA
4914,CN6359,PANA
4914,CN6359A,PANA
4914,CN6359B,PANA
4914,CN6359D,PANA
4914,CN6359F,PANA
4914,CN6359E,PANA
4915,SP1093,SILV
4916,SP1094,SILV
4917,CN6372,PANA
4917,CN6370,PANA
4917,CN6371,PANA
4918,SP1032,SILV
4918,SP1033,SILV
4918,SP1030,SILV
4918,SP1029,SILV
4918,SP1031,SILV
4919,CN6369A,PANA
4919,CN6367,PANA
4919,CN6369,PANA
4919,CN6368,PANA
4920,SP1028,SILV
4920,SP1025A,SILV
4920,SP1026,SILV
4921,CN6377,PANA
4921,CN6376,PANA
4921,CN6376A,PANA
4921,CN6375B,PANA
4922,SP1001,SILV
4922,SP1046,SILV
4922,SP1047,SILV
4922,SP1000,SILV
4922,SP1048,SILV
4922,SP999,SILV
4923,CN6366B,PANA
4923,CN6366C,PANA
4923,CN6366A,PANA
4924,SP1050,SILV
4924,SP1049,SILV
4924,SP998,SILV
4924,SP997,SILV
4925,CN6362,PANA
4925,CN6366,PANA
4925,CN6365,PANA
4925,CN6364,PANA
4925,CN6364A,PANA
4925,CN6364B,PANA
4925,CN6363,PANA
4926,SP996,SILV
4926,SP995,SILV
4926,SP1051,SILV
4928,SP993,SILV
4928,SP1053A,SILV
4928,SP1052,SILV
4928,SP993A,SILV
4928,SP994,SILV
4928,SP1052A,SILV
4930,SP990,SILV
4930,SP991B,SILV
4930,SP991A,SILV
4930,SP989,SILV
4930,SP992A,SILV
4930,SP991C,SILV
4930,SP992,SILV
4934,SP992B,SILV
4936,SP986,SILV
4936,SP988,SILV
4936,SP987A,SILV
4936,SP986A,SILV
4936,SP987,SILV
4939,SP985,SILV
4941,CN6262,PANA
4941,CN6262A,PANA
4943,CN6269B,PANA
4944,CN6269,PANA
4944,CN6262B,PANA
4944,CN6268E,PANA
4944,CN6268D,PANA
4944,CN6269A,PANA
4944,CN6268C,PANA
4944,CN6268B,PANA
4944,CN6262C,PANA
4944,CN6262D,PANA
4945,CN6264,PANA
4945,CN6264A,PANA
4945,CN6268A,PANA
4946,CN6264B,PANA
4946,CN6268,PANA
4947,CN6267,PANA
4947,CN6266,PANA
4948,CN6259,PANA
4948,CN6257,PANA
4949,CN6255,PANA
4949,CN6256,PANA
4949,CN6260,PANA
4950,CN6244,PANA
4950,CN6245,PANA
4950,CN6254A,PANA
4951,CN5399,BIRI
4951,CN5399A,BIRI
4951,CN5400,
4952,CN6254,PANA
4952,CN6247,PANA
4953,CN5402,BIRI
4953,CN5401B,BIRI
4953,CN5401,BIRI
4953,CN5401A,BIRI
4953,CN5401D,BIRI
4953,CN5401C,BIRI
4954,CN6313,PANA
4954,CN6312,PANA
4955,CN6152A,PANA
4955,CN6153,PANA
4956,CN6147,PANA
4956,CN6148,PANA
4956,CN6149,PANA
4956,CN6145B,PANA
4956,CN6146,PANA
4957,CN6144,PANA
4957,CN6150,PANA
4957,CN6145,PANA
4957,CN6145A,PANA
4958,CN6143,PANA
4958,CN6142,PANA
4959,CN6152,PANA
4959,CN6151,PANA
4960,CN6310,PANA
4960,CN6311,PANA
4960,CN6309,PANA
4962,CN6271,PANA
4962,CN6270A,PANA
4962,CN6270B,PANA
4962,CN6271A,PANA
4963,CN6045A,CANC
4963,CN6045,CANC
4963,CN6044,CANC
4963,CN6043,CANC
4963,CN6042,CANC
4963,CN6043B,CANC
4964,CN6303A,PANA
4965,CN6060,CANC
4965,CN6060A,CANC
4965,CN6060B,CANC
4969,CN6304,PANA
4970,CN6059,CANC
4971,CN6066C,CANC
4971,CN6066,CANC
4971,CN6066B,CANC
4971,CN6066A,CANC
4974,CN6306,PANA
4975,CN6307A,PANA
4975,CN6307C,PANA
4975,CN6307,PANA
4975,CN6307B,PANA
4977,CN6026,CANC
4977,CN6025,CANC
4977,CN6025A,CANC
4978,CN5391,BIRI
4979,CN6026A,CANC
4981,CN6032,CANC
4981,CN6031,CANC
4981,CN6032A,CANC
4981,CN6033,CANC
4982,CN5390A,BIRI
4984,CN6030,CANC
4984,CN6035,CANC
4984,CN6034,CANC
4985,CN6041A,CANC
4985,CN6040,CANC
4985,CN6039,CANC
4986,CN6036,CANC
4986,CN6029D,CANC
4987,CN6029C,CANC
4987,CN6029B,CANC
4990,CN5509A,CANC
4990,CN5512,CANC
4990,CN5517,CANC
4990,CN5509,CANC
4990,CN5517A,CANC
4991,CN5511,CANC
4991,CN5510,CANC
4992,CN5515A,CANC
4992,CN5515B,CANC
4992,CN5515,CANC
4994,CN6055,CANC
4994,CN6056,CANC
4994,CN6052,CANC
4995,CN6055A,CANC
4996,CN5516A,CANC
4996,CN5516B,CANC
4997,CN5516,CANC
4998,CN6053,CANC
4998,CN6051,CANC
4998,CN6049,CANC
5000,CN5529,CANC
5000,CN5528,CANC
5000,CN5527,CANC
5001,SM783,MARC
5002,SM1610A,MARC
5002,SM1611,MARC
5002,SM1610,MARC
5002,SM1608,MARC
5002,SM1609,MARC
5002,SM1612,MARC
5005,SM1613,MARC
5005,SM1614C,MARC
5005,SM1614,MARC
5005,SM1607,MARC
5005,SM1614B,MARC
5006,SM527,MARC
5006,SM531,MARC
5006,SM528,MARC
5006,SM529,MARC
5006,SM527A,MARC
5006,SM530,MARC
5006,SM526A,MARC
5008,SM1183,MARC
5008,SM1182,MARC
5008,SM1180,MARC
5008,SM1183A,MARC
5009,SM534,MARC
5009,SM533A,MARC
5009,SM532,MARC
5009,SM533,MARC
5009,SM535,MARC
5010,DD3698,PANT
5010,DD3699,PANT
5010,DD3697,PANT
5010,DD3696,PANT
5011,SM544B,MARC
5011,SM543,MARC
5011,SM536,MARC
5011,SM545,MARC
5011,SM544,MARC
5011,SM545A,MARC
5011,SM544A,MARC
5012,SM1192,MARC
5012,SM1195,MARC
5012,SM1191A,MARC
5012,SM1191,MARC
5012,SM1191B,MARC
5012,SM1186,MARC
5013,DD3701,PANT
5013,DD3703,PANT
5013,DD3700,PANT
5013,DD3702,PANT
5014,SM547A,MARC
5014,SM541A,MARC
5014,SM546,MARC
5014,SM548,MARC
5014,SM547,MARC
5014,SM542,MARC
5015,SM1605,MARC
5015,SM1595,MARC
5016,DD3705A,PANT
5017,SM539,MARC
5017,SM537,MARC
5017,SM540,MARC
5017,SM540A,MARC
5017,SM538,MARC
5018,SM1599,MARC
5018,SM1602,MARC
5018,SM1596,MARC
5018,SM1597,MARC
5018,SM1598,MARC
5018,SM1600,MARC
5018,SM1601,MARC
5018,SM1604,MARC
5018,SM1593,MARC
5018,SM1603,MARC
5020,SM518,MARC
5020,SM519,MARC
5021,SM1588,MARC
5021,SM1589,MARC
5021,SM1586,MARC
5022,SM1585,MARC
5022,SM1575,MARC
5022,SM1575A,MARC
5022,SM1584,MARC
5023,SM1583A,MARC
5023,SM1576,MARC
5023,SM1583,MARC
5024,SM1509,MARC
5024,SM1505,MARC
5024,SM1505A,MARC
5024,SM1504,MARC
5024,SM1502,MARC
5024,SM1503,MARC
5024,SM1507,MARC
5024,SM1508,MARC
5024,SM1506,MARC
5026,SM1501,MARC
5027,SM1494,MARC
5027,SM1487,MARC
5027,SM1496,MARC
5027,SM1497,MARC
5027,SM1492,MARC
5027,SM1493,MARC
5027,SM1488,MARC
5027,SM1498,MARC
5027,SM1500,MARC
5027,SM1495,MARC
5028,SM1490,MARC
5028,SM1491,MARC
5028,SM1489,MARC
5028,SM1477,MARC
5028,SM1490A,MARC
5028,SM1478,MARC
5029,SM1475,MARC
5029,SM1474,MARC
5029,SM1476,MARC
5031,SM1479,MARC
5031,SM1486,MARC
5031,SM1485,MARC
5031,SM1483,MARC
5031,SM1481,MARC
5031,SM1484,MARC
5031,SM1482,MARC
5031,SM1480,MARC
5032,SM1473,MARC
5033,SM1471,MARC
5033,SM1470,MARC
5033,SM1472,MARC
5033,SM1469,MARC
5034,SM1461,MARC
5034,SM1468,MARC
5034,SM1464,MARC
5034,SM1463,MARC
5034,SM1462,MARC
5035,SM1535,MARC
5035,SM1534,MARC
5036,SM1536,MARC
5036,SM1537,MARC
5036,SM1535A,MARC
5037,SM1538,MARC
5038,SM1570,MARC
5038,SM1570B,MARC
5038,SM1571,MARC
5039,SM1539,MARC
5041,SM1541,MARC
5041,SM1540,MARC
5042,SM1542,MARC
5042,SM1543,MARC
5042,SM1544,MARC
5045,SM1549,MARC
5045,SM1548,MARC
5046,SM1563,MARC
5046,SM1561,MARC
5046,SM1562,MARC
5047,SM1564,MARC
5048,SM1565B,MARC
5048,SM1565,MARC
5049,SM1566,MARC
5049,SM1568,MARC
5049,SM1569,MARC
5049,SM1565A,MARC
5049,SM1567,MARC
5050,SM1228,MARC
5050,SM1227,MARC
5050,SM1229,MARC
5050,SM1230,MARC
5051,SM1234,MARC
5051,SM1233,MARC
5051,SM1232,MARC
5051,SM1231,MARC
5052,SM1238,MARC
5052,SM1234A,MARC
5052,SM1237,MARC
5052,SM1236,MARC
5052,SM1235,MARC
5053,SM1222B,MARC
5053,SM1242,MARC
5053,SM1239,MARC
5053,SM1240,MARC
5053,SM1241,MARC
5054,SM1225,MARC
5055,SM1223,MARC
5055,SM1221,MARC
5055,SM1224A,MARC
5055,SM1224B,MARC
5055,SM1222,MARC
5055,SM1222A,MARC
5055,SM1224,MARC
5056,SM1267B,MARC
5057,SM1257,MARC
5057,SM1268,MARC
5057,SM1295,MARC
5057,SM1292,MARC
5057,SM1257A,MARC
5057,SM1257B,MARC
5058,SM1296,MARC
5058,SM1297,MARC
5058,SM1256A,MARC
5059,SM1256,MARC
5059,SM1255,MARC
5060,SM18,MARC
5060,SM19,MARC
5060,SM40,MARC
5060,SM20,MARC
5060,SM16,MARC
5060,SM12,MARC
5060,SM8,MARC
5060,SM17,MARC
5060,SM11,MARC
5060,SM9,MARC
5060,SM13,MARC
5060,SM5,MARC
5060,SM4,MARC
5060,SM10,MARC
5060,SM3A,MARC
5060,SM3,MARC
5060,SM41,MARC
5060,SM7,MARC
5060,SM15,MARC
5060,SM21,MARC
5060,SM6,MARC
5060,SM13A,MARC
5060,SM14,MARC
5062,2,
5067,SM1729,MARC
5067,SM1728A,MARC
5070,SM1175,MARC
5070,SM1177,MARC
5070,SM1178,MARC
5070,SM1176A,MARC
5070,SM1176,MARC
5070,SM1179,MARC
5072,SM1226,MARC
5074,SM1394,MARC
5074,SM1388,MARC
5074,SM1388A,MARC
5074,SM1389,MARC
5074,SM1394B,MARC
5074,SM1389B,MARC
5075,SM1391,MARC
5075,SM1393,MARC
5075,SM1392,MARC
5075,SM1392A,MARC
5075,SM1390A,MARC
5077,SM1390,MARC
5078,SM1989,FANT
5086,SM5054,BORT
5086,SM5056,BORT
5086,SM5053,BORT
5086,SM5051,BORT
5086,SM5055,BORT
5086,SM5052,BORT
5087,SM5204,BORT
5088,CS5821,FAVA
5088,CS5820,FAVA
5089,CS5319,FAVA
5089,CS5320,FAVA
5090,SM4364,LUCA
5090,SM4385,LUCA
5090,SM4384A,LUCA
5090,SM4395,LUCA
5091,SM869,GALL
5091,SM868,GALL
5091,SM870,GALL
5091,SM867,GALL
5092,SM650,MARC
5092,SM649,MARC
5093,CS4872,QUER
5093,CS4871,QUER
5093,CS4873,QUER
5094,CS4875,QUER
5094,CS4874,QUER
5094,CS4874A,QUER
5094,CS4876,QUER
5095,CS4729,QUER
5095,CS4728,QUER
5095,CS4727,QUER
5096,CS4730,QUER
5097,CS4731,QUER
5097,CS4734,QUER
5097,CS4731A,QUER
5098,CS4732,QUER
5099,CS4386A,FILI
5099,CS4387,FILI
5099,CS4386,FILI
5100,CS4389,FILI
5100,CS4388,FILI
5100,CS4390A,FILI
5101,CS3659,LORE
5101,CS3660,LORE
5101,CS3658,LORE
5102,CS3653,LORE
5102,CS3649,LORE
5102,CS3655,LORE
5102,CS3656,LORE
5102,CS3654,LORE
5102,CS3649B,LORE
5102,CS3649A,LORE
5102,CS3657,LORE
5103,CS3386,LORE
5103,CS3385A,LORE
5103,CS3385,LORE
5103,CS3386A,LORE
5104,CS3388,LORE
5104,CS3387,LORE
5104,CS3388A,LORE
5104,CS3387A,LORE
5105,CS3390,LORE
5105,CS3389,LORE
5105,CS3390A,LORE
5106,CS3391,LORE
5108,CS4948,QUER
5108,CS4949,QUER
5108,CS4950,QUER
5109,CS3752,BRAG
5109,CS3751,BRAG
5109,CS3753,BRAG
5110,CS3754,BRAG
5111,CS3756,BRAG
5111,CS3755,BRAG
5112,CS3749,BRAG
5112,CS3750,BRAG
5112,CS3748,BRAG
5113,CS3746,BRAG
5113,CS3747,BRAG
5114,CS3745,BRAG
5114,CS3743,BRAG
5114,CS3744,BRAG
5115,CS3741A,BRAG
5115,CS3741,BRAG
5115,CS3740,BRAG
5116,CS3739,BRAG
5116,CS3738,BRAG
5117,CS3736,BRAG
5117,CS3737,BRAG
5118,CS3734,BRAG
5118,CS3735,BRAG
5118,CS3742A,BRAG
5119,CS3616,BRAG
5119,CS3617,BRAG
5120,CS3615,BRAG
5121,CS3492A,BRAG
5122,CS3610,BRAG
5122,CS3611,BRAG
5122,CS3492B,BRAG
5122,CS3612,BRAG
5123,CS3613A,BRAG
5123,CS3614,BRAG
5123,CS3613,BRAG
5124,CS3429,LORE
5124,CS3427,LORE
5124,CS3428,LORE
5125,CS3426,LORE
5125,CS3425,LORE
5125,CS3424,LORE
5126,CS3430,LORE
5126,CS3431,LORE
5126,CS3439,LORE
5126,CS3440,LORE
5127,CS3438,LORE
5127,CS3438A,LORE
5127,CS3432B,LORE
5127,CS3432,LORE
5128,CS3435,LORE
5128,CS3433,LORE
5128,CS3437,LORE
5128,CS3434,LORE
5128,CS3436,LORE
5129,CS3454,LORE
5129,CS3440C,LORE
5129,CS3440D,LORE
5129,CS3453,LORE
5130,CS3451,LORE
5130,CS3452,LORE
5131,CS3450,LORE
5131,CS3449,LORE
5131,CS3443,LORE
5131,CS3443A,LORE
5131,CS3441,LORE
5131,CS3442,LORE
5132,CS3535,BRAG
5132,CS3534,BRAG
5134,CS3500,BRAG
5134,CS3499,BRAG
5135,CS3494,BRAG
5136,CS3493,BRAG
5136,CS3302,BRAG
5137,CS3178,BRAG
5137,CS2886,BRAG
5137,CS2885,BRAG
5138,CS2884,BRAG
5138,CS2883,BRAG
5139,CS2877,BRAG
5139,CS2876,BRAG
5140,CS2874,BRAG
5141,CS2872,BRAG
5141,CS2873,BRAG
5142,CS2871,BRAG
5142,CS2870,BRAG
5143,CS2889,BRAG
5143,CS2888,BRAG
5143,CS2887A,BRAG
5144,CS2891,BRAG
5144,CS2890,BRAG
5145,CS2893,BRAG
5146,CS2894,BRAG
5146,CS2895,BRAG
5147,CS2897,BRAG
5147,CS2897A,BRAG
5147,CS2896,BRAG
5148,CS2867,BRAG
5148,CS2868,BRAG
5149,CS4683A,ZACC
5149,CS4683,ZACC
5150,CS4682A,ZACC
5150,CS4681,ZACC
5150,CS4679,ZACC
5150,CS4680,ZACC
5150,CS4682B,ZACC
5151,CS4595,FILI
5151,CS4596A,FILI
5151,CS4596B,FILI
5152,CS4594,FILI
5152,CS4593,FILI
5153,CS4602,FILI
5153,CS4604A,FILI
5153,CS4600,FILI
5153,CS4601,FILI
5153,CS4603,FILI
5154,CS4606,FILI
5154,CS4607,FILI
5154,CS4608,FILI
5154,CS4609,FILI
5155,CS4610,FILI
5155,CS4605,FILI
5156,CS4590A,FILI
5156,CS4591,FILI
5156,CS4592,FILI
5157,CS4588,FILI
5157,CS4589,FILI
5157,CS4590,FILI
5158,CS4565,FILI
5158,CS4567,FILI
5158,CS4560,FILI
5158,CS4193,FILI
5158,CS4195,FILI
5158,CS4197,FILI
5158,CS4199,FILI
5158,CS4564,FILI
5158,CS4562,FILI
5158,CS4196,FILI
5158,CS4198,FILI
5158,CS4558,FILI
5158,CS4559,FILI
5158,CS4561,FILI
5158,CS4568,FILI
5158,CS4566,FILI
5158,CS4194,FILI
5159,CS4227,FILI
5160,CS4545,FILI
5160,CS4225,FILI
5160,CS4226,FILI
5161,CS4209,FILI
5163,CS4232,FILI
5163,CS4232A,FILI
5164,CS4234A,FILI
5164,CS4233,FILI
5164,CS4234,FILI
5165,CS4237,FILI
5165,CS4237A,FILI
5166,CS4236,FILI
5166,CS4235,FILI
5167,CS4527,FILI
5167,CS4525,FILI
5167,CS4526,FILI
5167,CS4524,FILI
5168,CS4522,FILI
5168,CS4523,FILI
5169,CS4238,FILI
5169,CS4521,FILI
5169,CS4520,FILI
5170,CS5134,SEVE
5171,CS5140,SEVE
5171,CS5134A,SEVE
5172,CS5105,SEVE
5172,CS5106,SEVE
5173,CS5108,SEVE
5173,CS5104,SEVE
5173,CS5103,SEVE
5174,CS5112,SEVE
5174,CS5102,SEVE
5175,CS5101,SEVE
5175,CS5114,SEVE
5176,CS5115,SEVE
5176,CS5100,SEVE
5176,CS5116,SEVE
5177,CS5119,SEVE
5177,CS5099,SEVE
5178,CS5098A,SEVE
5178,CS5120,SEVE
5178,CS5098,SEVE
5179,CS5121,SEVE
5179,CS5097,SEVE
5180,CS5096,SEVE
5180,CS5124,SEVE
5181,CS5095,SEVE
5182,CS5094,SEVE
5182,CS5130,SEVE
5183,CS5131,SEVE
5183,CS5093,SEVE
5183,CS5092,SEVE
5184,CS5133A,SEVE
5184,CS5091,SEVE
5184,CS5133,SEVE
5184,CS5091A,SEVE
5185,CS5077,SEVE
5185,CS5077A,SEVE
5185,CS5076A,SEVE
5186,CS5078,SEVE
5187,CS5079,SEVE
5188,CS5080,SEVE
5189,CS5081,SEVE
5189,CS5081A,SEVE
5190,CS5082,SEVE
5191,CS5083,SEVE
5191,CS5082A,SEVE
5192,CS5084,SEVE
5192,CS5083A,SEVE
5193,CS5085,SEVE
5194,CS5086,SEVE
5195,CS5033,SEVE
5195,CS5032,SEVE
5195,CS5031,SEVE
5195,CS5030,SEVE
5196,CS5034,SEVE
5196,CS5035,SEVE
5197,CS4480,FILI
5198,CS4481,FILI
5199,CS4326,FILI
5199,CS4323,FILI
5199,CS4325,FILI
5199,CS4324,FILI
5200,CS4321,FILI
5200,CS4320,FILI
5200,CS4322,FILI
5200,CS4327,FILI
5201,CS4334,FILI
5201,CS4333,FILI
5202,CS4344,FILI
5203,CS4356,FILI
5203,CS4355,FILI
5203,CS4352A,FILI
5204,CS4337,FILI
5204,CS4340,FILI
5204,CS4338,FILI
5205,CS4358A,FILI
5205,CS4359,FILI
5206,CS4358,FILI
5206,CS4357,FILI
5206,CS4352,FILI
5206,CS4351,FILI
5207,CS4930,QUER
5209,CS4890A,QUER
5209,CS4890D,QUER
5209,CS4905,QUER
5209,CS4907,QUER
5209,CS4906,QUER
5210,CS4904A,QUER
5210,CS4890E,QUER
5210,CS4904,QUER
5211,CS4902,QUER
5211,CS4900,QUER
5211,CS4900A,QUER
5211,CS4899,QUER
5211,CS4901,QUER
5212,CS4903,QUER
5213,CS4893,QUER
5213,CS4890B,QUER
5213,CS4891,QUER
5213,CS4892,QUER
5214,CS4894,QUER
5214,CS4893A,QUER
5215,CS4880,QUER
5215,CS4890,QUER
5216,CS4881,QUER
5216,CS4889B,QUER
5217,CS4883,QUER
5217,CS4887,QUER
5217,CS4889A,QUER
5217,CS4888,QUER
5217,CS4882,QUER
5217,CS4889,QUER
5218,CS4422B,FILI
5219,CS4422A,FILI
5219,CS4422,FILI
5219,CS4422D,FILI
5224,CS3385O,LORE
5225,CS3385E,LORE
5225,CS3385D,LORE
5225,CS3385L,LORE
5225,CS3385M,LORE
5225,CS3385I,LORE
5225,CS3385B,LORE
5225,CS3385C,LORE
5225,CS3385G,LORE
5225,CS3385H,LORE
5226,CS3385F,LORE
5227,CS3392,LORE
5227,CS3393,LORE
5230,CS3376,LORE
5230,CS3376A,LORE
5230,CS3372,LORE
5230,CS3373,LORE
5231,CS3378A,LORE
5231,CS3378,LORE
5233,CS3394,LORE
5233,CS3394A,LORE
5234,CS3404A,LORE
5234,CS3406,LORE
5235,CS3402,LORE
5235,CS3400,LORE
5235,CS3403,LORE
5235,CS3401,LORE
5235,CS3399,LORE
5235,CS3404,LORE
5236,CS3412,LORE
5236,CS3413,LORE
5238,CS3418,LORE
5238,CS3416A,LORE
5238,CS3419,LORE
5238,CS3417,LORE
5240,CS3365,LORE
5240,CS3366,LORE
5240,CS3366A,LORE
5240,CS3367,LORE
5240,CS3362,LORE
5240,CS3363,LORE
5240,CS3364,LORE
5241,CS3361,LORE
5242,CS3360,LORE
5242,CS3370,LORE
5243,CS3370A,LORE
5243,CS3358,LORE
5243,CS3357A,LORE
5244,CS3371,LORE
5244,CS3371A,LORE
5244,CS3356,LORE
5244,CS3357,LORE
5245,CS3355,LORE
5246,CS3354,LORE
5246,CS3353,LORE
5248,CS3342,LORE
5248,CS3340A,LORE
5248,CS3341,LORE
5248,CS3340,LORE
5249,CS3352,LORE
5249,CS3343A,LORE
5250,CS3344,LORE
5250,CS3350,LORE
5250,CS3345,LORE
5250,CS3351,LORE
5251,CS3349A,LORE
5251,CS3346,LORE
5251,CS3345A,LORE
5251,CS3349,LORE
5252,CS3348,LORE
5252,CS3347,LORE
5253,CS3338,LORE
5254,CS3339,LORE
5255,CS3311,LORE
5255,CS3310,LORE
5255,CS3332,LORE
5255,CS3331,LORE
5256,CS3330,LORE
5256,CS3329,LORE
5257,CS3328,LORE
5258,CS3313,LORE
5258,CS3312,LORE
5259,CS3314,LORE
5260,CS3326,LORE
5260,CS3327,LORE
5261,CS3315,LORE
5261,CS3316,LORE
5262,CS3318,LORE
5262,CS3317,LORE
5263,CS3323A,LORE
5263,CS3324,LORE
5263,CS3319,LORE
5263,CS3320,LORE
5263,CS3322,LORE
5263,CS3321,LORE
5263,CS3325,LORE
5263,CS3323,LORE
5264,CS3497,BRAG
5264,CS3496,BRAG
5264,CS3497A,BRAG
5264,CS3495,BRAG
5266,CS3301,BRAG
5266,CS3300,BRAG
5267,CS3299,BRAG
5268,CS3272,BRAG
5268,CS3270,BRAG
5268,CS3270A,BRAG
5268,CS3271,BRAG
5268,CS3269,BRAG
5269,CS3273,BRAG
5270,CS3277,BRAG
5270,CS3280,BRAG
5270,CS3276,BRAG
5270,CS3275,BRAG
5270,CS3279,BRAG
5270,CS3278,BRAG
5270,CS3274,BRAG
5272,CS3282,BRAG
5272,CS3281,BRAG
5273,CS3283,BRAG
5273,CS3284,BRAG
5274,CS3285,BRAG
5274,CS3288,BRAG
5274,CS3286,BRAG
5274,CS3287,BRAG
5275,CS3289,BRAG
5276,CS3290,BRAG
5276,CS3291,BRAG
5278,CS3252,BRAG
5278,CS3251,BRAG
5279,CS3247A,BRAG
5279,CS3248,BRAG
5279,CS3247,BRAG
5280,CS3244,BRAG
5280,CS3243,BRAG
5281,CS3241,BRAG
5281,CS3241A,BRAG
5281,CS3242,BRAG
5282,CS3239,BRAG
5282,CS3239A,BRAG
5282,CS3240,BRAG
5283,CS3237,BRAG
5283,CS3238,BRAG
5284,CS3234A,BRAG
5284,CS3234,BRAG
5285,CS3233,BRAG
5285,CS3232,BRAG
5287,CS3259A,BRAG
5288,CS3259,BRAG
5289,CS3258,BRAG
5289,CS3255,BRAG
5289,CS3257,BRAG
5290,CS3254,BRAG
5291,CS3179,BRAG
5293,CS2878,BRAG
5294,CS2909,BRAG
5294,CS2912,BRAG
5294,CS2908,BRAG
5295,CS2913A,BRAG
5295,CS2916,BRAG
5296,CS2922,BRAG
5297,CS2869,BRAG
5297,CS2869A,BRAG
5299,CS2863,BRAG
5299,CS2863A,BRAG
5299,CS2863B,BRAG
5300,CS2861,BRAG
5300,CS2860A,BRAG
5300,CS2860,BRAG
5300,CS2859,BRAG
5303,CS2898,BRAG
