TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
145,1,53395,CN1187,LEON
145,1,53396,CN1185A,LEON
148,1,53251,CN1189,LEON
150,2,53432,CN1106A,LEON
150,2,53433,CN1106,LEON
151,1,53426,CN1114,LEON
151,1,73816,CN1115A,LEON
151,1,53423,CN1117,LEON
151,1,53424,CN1116,LEON
151,1,53425,CN1115,LEON
152,1,53428,CN1112,LEON
152,1,77158,CN1111,LEON
152,1,53427,CN1113,LEON
153,1,53429,CN1110,LEON
155,1,53431,CN1108A,LEON
155,1,77162,CN1108,LEON
156,1,77166,CN1107,LEON
158,3,77127,CN1156,LEON
158,3,53405,CN1156B,LEON
158,3,77118,CN1156C,LEON
158,3,53285,CN1155,LEON
158,3,53404,CN1107A,LEON
158,3,77123,CN1156A,LEON
159,1,53286,CN1154,LEON
159,1,73808,CN1153,LEON
159,1,53287,CN1152,LEON
159,1,53288,CN1150,LEON
160,1,53406,CN1144,LEON
160,1,77114,CN1147,LEON
160,1,73810,CN1148,LEON
160,1,73809,CN1149,LEON
160,1,53289,CN1146,LEON
160,1,53290,CN1145,LEON
161,1,53408,CN1142,LEON
161,1,53407,CN1143,LEON
162,1,77135,CN1139,LEON
162,1,77178,CN1140,LEON
162,1,77174,CN1138,LEON
162,1,77131,CN1141,LEON
162,1,74973,CN1136,LEON
162,1,77142,CN1137,LEON
163,1,73815,CN1135A,LEON
163,1,53409,CN1135,LEON
163,1,74974,CN1134,LEON
163,1,77146,CN1133,LEON
164,1,77154,CN1130,LEON
164,1,53412,CN1126,LEON
164,1,53410,CN1131,LEON
164,1,77150,CN1132,LEON
164,1,53411,CN1129,LEON
166,1,53415,CN1123,LEON
166,1,53413,CN1125,LEON
166,1,53414,CN1124,LEON
167,1,53419,CN1120,LEON
167,1,53417,CN1122A,LEON
167,1,53420,CN1119,LEON
167,1,53418,CN1121,LEON
167,1,53421,CN1118A,LEON
167,1,53422,CN1118,LEON
167,1,53416,CN1122,LEON
168,1,76236,CN1228,LEON
169,1,53284,CN1227A,LEON
170,1,53283,CN1227,LEON
170,1,53282,CN1226,LEON
170,1,53281,CN1225,LEON
171,1,53280,CN1224,LEON
171,1,53278,CN1222,LEON
171,1,53279,CN1223,LEON
172,1,53275,CN1219,LEON
172,1,53276,CN1220,LEON
172,1,53277,CN1221,LEON
173,1,53272,CN1217C,LEON
173,1,73868,CN1215,LEON
173,1,65933,CN1217B,LEON
173,1,81876,CN1218,LEON
173,1,73869,CN1216,LEON
173,1,53273,CN1217A,LEON
173,1,53274,CN1217,LEON
174,1,76232,CN1214,LEON
174,1,76511,CN1213,LEON
175,1,76228,CN1212,LEON
175,1,53271,CN1211,LEON
176,1,53267,CN1207,LEON
176,1,53268,CN1208,LEON
176,1,53269,CN1209,LEON
177,1,74947,CN1200,LEON
177,1,74946,CN1206,LEON
177,1,53266,CN1199A,LEON
178,1,53356,CN1345B,LEON
178,1,82913,CN1345E,LEON
