TARGET_FID_12_13,full_alias,short_alias
125,CN-LEON-B-345,LEON-345
126,CN-LEON-B-346,LEON-346
127,CN-LEON-B-347,LEON-347
128,CN-LEON-B-348,LEON-348
129,CN-LEON-E-432,LEON-432
130,CN-LEON-E-433,LEON-433
131,CN-LEON-E-373,LEON-373
132,CN-LEON-E-070,LEON-070
133,CN-LEON-E-086,LEON-086
134,CN-LEON-E-077,LEON-077
135,CN-LEON-E-076,LEON-076
136,CN-LEON-E-072,LEON-072
137,CN-LEON-E-371,LEON-371
138,CN-LEON-F-369,LEON-369
139,CN-LEON-G-082,LEON-082
140,CN-LEON-G-081,LEON-081
141,CN-LEON-F-434,LEON-434
142,CN-LEON-F-364,LEON-364
143,CN-LEON-H-356,LEON-356
144,CN-LEON-F-358,LEON-358
145,CN-LEON-H-359,LEON-359
146,CN-LEON-F-362,LEON-362
147,CN-LEON-F-361,LEON-361
148,CN-LEON-H-360,LEON-360
149,CN-LEON-F-165,LEON-165
150,CN-LEON-G-161,LEON-161
151,CN-LEON-B-091,LEON-091
152,CN-LEON-B-092,LEON-092
153,CN-LEON-B-093,LEON-093
154,CN-LEON-B-160,LEON-160
155,CN-LEON-B-162,LEON-162
156,CN-LEON-B-163,LEON-163
157,CN-LEON-B-164,LEON-164
158,CN-LEON-B-367,LEON-367
159,CN-LEON-B-368,LEON-368
160,CN-LEON-B-169,LEON-169
161,CN-LEON-B-168,LEON-168
162,CN-LEON-B-167,LEON-167
163,CN-LEON-B-170,LEON-170
164,CN-LEON-B-158,LEON-158
165,CN-LEON-B-159,LEON-159
166,CN-LEON-B-094,LEON-094
167,CN-LEON-B-095,LEON-095
168,CN-LEON-B-331,LEON-331
169,CN-LEON-B-332,LEON-332
170,CN-LEON-B-333,LEON-333
171,CN-LEON-B-354,LEON-354
172,CN-LEON-B-353,LEON-353
173,CN-LEON-B-352,LEON-352
174,CN-LEON-B-338,LEON-338
175,CN-LEON-B-339,LEON-339
176,CN-LEON-B-336,LEON-336
177,CN-LEON-B-335,LEON-335
178,CN-LEON-B-323,LEON-323
179,CN-LEON-B-185,LEON-185
180,CN-LEON-B-186,LEON-186
181,CN-LEON-B-179,LEON-179
182,CN-LEON-B-178,LEON-178
183,CN-LEON-B-177,LEON-177
184,CN-LEON-B-187,LEON-187
185,CN-LEON-B-188,LEON-188
186,CN-LEON-B-195,LEON-195
187,CN-LEON-I-295,LEON-295
188,CN-LEON-I-205,LEON-205
189,CN-LEON-I-202,LEON-202
190,CN-LEON-I-203,LEON-203
191,CN-LEON-I-296,LEON-296
192,CN-LEON-I-292,LEON-292
193,CN-LEON-J-320,LEON-320
194,CN-LEON-K-322,LEON-322
195,CN-LEON-B-176,LEON-176
196,CN-GIOB-B-030,GIOB-030
197,CN-GIOB-B-029,GIOB-029
198,CN-GERE-B-003,GERE-003
199,CN-GERE-B-004,GERE-004
200,CN-GERE-B-005,GERE-005
201,CN-GERE-B-246,GERE-246
202,CN-GERE-B-248,GERE-248
203,CN-GERE-B-242,GERE-242
204,CN-GERE-B-233,GERE-233
205,CN-GERE-B-232,GERE-232
206,CN-GERE-B-231,GERE-231
207,CN-GERE-B-230,GERE-230
208,CN-GERE-B-229,GERE-229
209,CN-GERE-B-228,GERE-228
210,CN-GERE-B-236,GERE-236
211,CN-GERE-B-238,GERE-238
212,CN-GERE-B-223,GERE-223
213,CN-GERE-B-222,GERE-222
214,CN-GERE-B-240,GERE-240
215,CN-GERE-B-256,GERE-256
216,CN-GERE-B-255,GERE-255
217,CN-GERE-B-253,GERE-253
218,CN-GERE-B-241,GERE-241
219,CN-GERE-B-237,GERE-237
220,CN-GERE-B-252,GERE-252
221,CN-GERE-B-254,GERE-254
222,CN-GERE-B-251,GERE-251
223,CN-GERE-B-250,GERE-250
224,CN-GERE-F-257,GERE-257
225,CN-GERE-F-262,GERE-262
226,CN-GERE-F-264,GERE-264
227,CN-GERE-F-263,GERE-263
228,CN-GERE-F-258,GERE-258
229,CN-GERE-E-221,GERE-221
230,CN-GERE-E-217,GERE-217
231,CN-GERE-E-220,GERE-220
232,CN-GERE-E-272,GERE-272
233,CN-GERE-G-277,GERE-277
234,CN-GERE-G-278,GERE-278
235,CN-GERE-G-279,GERE-279
236,CN-GERE-G-411,GERE-411
237,CN-GERE-G-281,GERE-281
238,CN-GERE-H-410,GERE-410
239,CN-GERE-H-406,GERE-406
240,CN-GERE-H-283,GERE-283
241,CN-GERE-G-282,GERE-282
242,CN-GERE-G-284,GERE-284
243,CN-GERE-G-285,GERE-285
244,CN-GERE-G-408,GERE-408
245,CN-GERE-G-210,GERE-210
246,CN-GERE-G-214,GERE-214
247,CN-GERE-I-294,GERE-294
248,CN-GERE-I-295,GERE-295
249,CN-GERE-I-292,GERE-292
250,CN-GERE-I-291,GERE-291
251,CN-GERE-I-296,GERE-296
252,CN-GERE-I-290,GERE-290
253,CN-GERE-I-298,GERE-298
254,CN-GERE-I-297,GERE-297
255,CN-GERE-I-301,GERE-301
256,CN-GERE-I-303,GERE-303
257,CN-GERE-B-234,GERE-234
258,CN-GERE-B-235,GERE-235
259,CN-GERE-B-243,GERE-243
260,CN-GERE-B-244,GERE-244
261,CN-GERE-B-245,GERE-245
262,CN-GERE-B-227,GERE-227
263,CN-GERE-F-259,GERE-259
264,CN-GERE-F-260,GERE-260
265,CN-GERE-E-270,GERE-270
266,CN-GERE-E-218,GERE-218
267,CN-GERE-G-274,GERE-274
268,CN-GERE-G-273,GERE-273
269,CN-GERE-G-213,GERE-213
270,CN-GERE-H-405,GERE-405
271,CN-GERE-I-293,GERE-293
272,CN-GERE-I-299,GERE-299
273,CN-GERE-I-300,GERE-300
274,CN-LEON-C-031,LEON-031
275,CN-LEON-C-416,LEON-416
276,CN-LEON-C-042,LEON-042
277,CN-LEON-C-044,LEON-044
278,CN-LEON-D-420,LEON-420
279,CN-LEON-D-409,LEON-409
280,CN-LEON-D-410,LEON-410
281,CN-LEON-D-046,LEON-046
282,CN-LEON-D-047,LEON-047
283,CN-LEON-D-406,LEON-406
284,CN-LEON-E-399,LEON-399
285,CN-LEON-E-056,LEON-056
286,CN-LEON-E-055,LEON-055
287,CN-LEON-E-060,LEON-060
288,CN-LEON-E-396,LEON-396
289,CN-LEON-E-382,LEON-382
290,CN-CHIO-B-061,CHIO-061
291,CN-CHIO-B-060,CHIO-060
292,CN-CHIO-B-052,CHIO-052
293,CN-CHIO-B-056,CHIO-056
294,CN-CHIO-B-053,CHIO-053
295,CN-LEON-L-002,LEON-002
296,CN-CHIO-B-057,CHIO-057
297,CN-CHIO-B-058,CHIO-058
298,CN-ORME-A-013,ORME-013
299,CN-GHET-C-026,GHET-026
300,CN-GHET-C-001,GHET-001
301,CN-LEON-H-357,LEON-357
302,CN-LEON-F-363,LEON-363
303,CN-LEON-F-365,LEON-365
304,CN-LEON-E-087,LEON-087
305,CN-LEON-E-085,LEON-085
306,CN-LEON-G-089,LEON-089
307,CN-LEON-G-080,LEON-080
308,CN-LEON-B-096,LEON-096
309,CN-LEON-B-097,LEON-097
310,CN-LEON-B-099,LEON-099
311,CN-LEON-B-098,LEON-098
312,CN-LEON-B-100,LEON-100
313,CN-LEON-B-157,LEON-157
314,CN-LEON-B-156,LEON-156
315,CN-LEON-B-155,LEON-155
316,CN-LEON-B-154,LEON-154
317,CN-LEON-B-153,LEON-153
318,CN-LEON-B-171,LEON-171
319,CN-LEON-B-173,LEON-173
320,CN-LEON-B-102,LEON-102
321,CN-LEON-B-101,LEON-101
322,CN-LEON-B-103,LEON-103
323,CN-LEON-B-182,LEON-182
324,CN-LEON-B-330,LEON-330
325,CN-LEON-B-166,LEON-166
326,CN-LEON-B-337,LEON-337
327,CN-LEON-B-329,LEON-329
328,CN-LEON-B-328,LEON-328
329,CN-LEON-B-183,LEON-183
330,CN-LEON-B-324,LEON-324
331,CN-LEON-B-325,LEON-325
332,CN-LEON-B-326,LEON-326
333,CN-LEON-B-196,LEON-196
334,CN-LEON-B-191,LEON-191
335,CN-LEON-B-192,LEON-192
336,CN-LEON-B-175,LEON-175
337,CN-LEON-B-143,LEON-143
338,CN-LEON-B-144,LEON-144
339,CN-LEON-B-145,LEON-145
340,CN-LEON-B-104,LEON-104
341,CN-LEON-B-106,LEON-106
342,CN-LEON-I-293,LEON-293
343,CN-LEON-I-199,LEON-199
344,CN-LEON-I-200,LEON-200
345,CN-LEON-I-198,LEON-198
346,CN-LEON-I-197,LEON-197
347,CN-LEON-I-204,LEON-204
348,CN-LEON-B-181,LEON-181
349,CN-LEON-E-377,LEON-377
350,CN-GHET-C-003,GHET-003
351,CN-GERE-F-261,GERE-261
352,CN-LEON-I-201,LEON-201
353,CN-LEON-I-294,LEON-294
354,CN-LEON-C-035,LEON-035
355,CN-GERE-J-168,GERE-168
356,CN-GERE-J-170,GERE-170
357,CN-GERE-J-172,GERE-172
358,CN-GERE-J-173,GERE-173
359,CN-GERE-K-201,GERE-201
360,CN-GERE-K-202,GERE-202
361,CN-GERE-K-203,GERE-203
362,CN-GERE-G-215,GERE-215
363,CN-GERE-G-204,GERE-204
364,CN-GERE-L-206,GERE-206
365,CN-GERE-I-200,GERE-200
366,CN-GERE-I-180,GERE-180
367,CN-GERE-I-182,GERE-182
368,CN-GERE-I-193,GERE-193
369,CN-GERE-I-184,GERE-184
370,CN-GERE-I-189,GERE-189
371,CN-GERE-I-188,GERE-188
372,CN-GERE-I-194,GERE-194
373,CN-GERE-I-190,GERE-190
374,CN-GERE-I-191,GERE-191
375,CN-GERE-I-195,GERE-195
376,CN-GERE-I-326,GERE-326
377,CN-GERE-I-325,GERE-325
378,CN-GERE-I-323,GERE-323
379,CN-GERE-L-324,GERE-324
380,CN-GERE-I-321,GERE-321
381,CN-GERE-I-317,GERE-317
382,CN-GERE-I-316,GERE-316
383,CN-GERE-I-320,GERE-320
384,CN-GERE-I-315,GERE-315
385,CN-GERE-I-314,GERE-314
386,CN-GERE-I-394,GERE-394
387,CN-GERE-I-387,GERE-387
388,CN-GERE-I-313,GERE-313
389,CN-GERE-I-312,GERE-312
390,CN-GERE-I-311,GERE-311
391,CN-GERE-I-396,GERE-396
392,CN-GERE-I-383,GERE-383
393,CN-GERE-I-306,GERE-306
394,CN-GERE-I-307,GERE-307
395,CN-GERE-I-385,GERE-385
396,CN-GERE-I-386,GERE-386
397,CN-GERE-I-397,GERE-397
398,CN-GERE-I-308,GERE-308
399,CN-GERE-I-305,GERE-305
400,CN-GERE-I-379,GERE-379
401,CN-GERE-I-378,GERE-378
402,CN-GERE-M-403,GERE-403
403,CN-GERE-M-402,GERE-402
404,CN-GERE-M-372,GERE-372
405,CN-GERE-N-371,GERE-371
406,CN-GERE-N-368,GERE-368
407,CN-GERE-N-369,GERE-369
408,CN-LEON-M-107,LEON-107
409,CN-LEON-M-108,LEON-108
410,CN-LEON-M-142,LEON-142
411,CN-LEON-M-109,LEON-109
412,CN-LEON-M-139,LEON-139
413,CN-LEON-M-135,LEON-135
414,CN-LEON-M-136,LEON-136
415,CN-LEON-N-140,LEON-140
416,CN-LEON-N-110,LEON-110
417,CN-LEON-N-435,LEON-435
418,CN-LEON-N-111,LEON-111
419,CN-LEON-N-112,LEON-112
420,CN-LEON-N-113,LEON-113
421,CN-LEON-N-119,LEON-119
422,CN-LEON-O-117,LEON-117
423,CN-LEON-O-120,LEON-120
424,CN-LEON-O-114,LEON-114
425,CN-LEON-O-115,LEON-115
426,CN-LEON-O-116,LEON-116
427,CN-LEON-P-261,LEON-261
428,CN-LEON-P-260,LEON-260
429,CN-LEON-Q-263,LEON-263
430,CN-LEON-Q-264,LEON-264
431,CN-LEON-Q-265,LEON-265
432,CN-LEON-Q-266,LEON-266
433,CN-LEON-Q-206,LEON-206
434,CN-LEON-Q-273,LEON-273
435,CN-LEON-Q-267,LEON-267
436,CN-LEON-Q-268,LEON-268
437,CN-LEON-Q-269,LEON-269
438,CN-LEON-Q-257,LEON-257
439,CN-LEON-Q-258,LEON-258
440,CN-LEON-Q-212,LEON-212
441,CN-LEON-Q-259,LEON-259
442,CN-LEON-Q-216,LEON-216
443,CN-LEON-Q-215,LEON-215
444,CN-LEON-Q-214,LEON-214
445,CN-LEON-Q-213,LEON-213
446,SC-ZAND-A-216,ZAND-216
447,SC-ZAND-A-218,ZAND-218
448,SC-ZAND-B-322,ZAND-322
449,SC-ZAND-B-001,ZAND-001
450,SC-ZAND-B-321,ZAND-321
451,SC-ZAND-B-002,ZAND-002
452,SC-ZAND-B-003,ZAND-003
453,SC-ZAND-B-320,ZAND-320
454,SC-ZAND-B-323,ZAND-323
455,CN-GERE-M-363,GERE-363
456,CN-GERE-M-350,GERE-350
457,CN-GERE-M-359,GERE-359
458,CN-GERE-M-398,GERE-398
459,CN-GERE-M-348,GERE-348
460,CN-GERE-M-347,GERE-347
461,CN-GERE-M-346,GERE-346
462,CN-GERE-M-361,GERE-361
463,CN-GERE-M-362,GERE-362
464,CN-GERE-M-342,GERE-342
465,CN-GERE-M-341,GERE-341
466,CN-GERE-O-336,GERE-336
467,CN-GERE-O-334,GERE-334
468,CN-GERE-O-333,GERE-333
469,CN-GERE-O-332,GERE-332
470,CN-GERE-O-327,GERE-327
471,CN-GERE-O-328,GERE-328
472,CN-GERE-P-142,GERE-142
473,CN-GERE-P-129,GERE-129
474,CN-GERE-P-130,GERE-130
475,CN-GERE-P-132,GERE-132
476,CN-GERE-P-141,GERE-141
477,CN-GERE-P-137,GERE-137
478,CN-GERE-P-134,GERE-134
479,CN-GERE-J-164,GERE-164
480,CN-GERE-J-094,GERE-094
481,CN-GERE-J-112,GERE-112
482,CN-GERE-J-154,GERE-154
483,CN-GERE-J-113,GERE-113
484,CN-GERE-J-115,GERE-115
485,CN-GERE-J-125,GERE-125
486,CN-GERE-J-117,GERE-117
487,CN-GERE-J-123,GERE-123
488,CN-GERE-J-144,GERE-144
489,CN-GERE-J-143,GERE-143
490,CN-GERE-J-149,GERE-149
491,CN-GERE-J-150,GERE-150
492,CN-GERE-J-178,GERE-178
493,CN-GERE-J-177,GERE-177
494,CN-GERE-J-174,GERE-174
495,CN-GERE-J-116,GERE-116
496,CN-GERE-C-037,GERE-037
497,CN-GERE-C-041,GERE-041
498,SC-ZAND-C-213,ZAND-213
499,SC-ZAND-C-196,ZAND-196
500,SC-ZAND-C-211,ZAND-211
501,SC-ZAND-C-206,ZAND-206
502,SC-ZAND-C-208,ZAND-208
503,SC-ZAND-C-207,ZAND-207
504,SC-ZAND-C-209,ZAND-209
505,CN-LEON-M-137,LEON-137
506,CN-LEON-O-118,LEON-118
507,CN-LEON-O-124,LEON-124
508,CN-LEON-Q-211,LEON-211
509,CN-LEON-Q-207,LEON-207
510,CN-LEON-Q-272,LEON-272
511,CN-LEON-Q-208,LEON-208
512,CN-LEON-Q-209,LEON-209
513,CN-LEON-Q-210,LEON-210
514,CN-GERE-J-171,GERE-171
515,CN-LEON-L-004,LEON-004
516,CN-GERE-J-167,GERE-167
517,CN-LEON-A-509,LEON-509
518,CN-GERE-J-169,GERE-169
519,CN-LEON-R-626,LEON-626
520,CN-LEON-A-479,LEON-479
521,CN-LEON-C-622,LEON-622
522,CN-GERE-J-165,GERE-165
523,CN-LEON-A-477,LEON-477
524,CN-LEON-C-621,LEON-621
525,CN-GERE-J-162,GERE-162
526,CN-LEON-A-476,LEON-476
527,CN-LEON-C-620,LEON-620
528,CN-GERE-N-400,GERE-400
529,CN-LEON-A-478,LEON-478
530,CN-LEON-C-619,LEON-619
531,CN-LEON-C-614,LEON-614
532,CN-LEON-C-617,LEON-617
533,CN-LEON-C-006,LEON-006
534,CN-LEON-C-007,LEON-007
535,CN-LEON-C-008,LEON-008
536,CN-LEON-C-009,LEON-009
537,CN-LEON-C-616,LEON-616
