TARGET_FID_12_13,full_alias,short_alias
3757,SC-MATE-E-026,MATE-026
3758,SP-CASS-D-025,CASS-025
3759,SP-SILV-B-158,SILV-158
3760,SC-MATE-F-074,MATE-074
3761,SP-CASS-D-026,CASS-026
3762,SC-MATE-F-073,MATE-073
3763,SP-SILV-B-155,SILV-155
3764,SP-CASS-C-090,CASS-090
3765,SC-MATE-F-003,MATE-003
3766,SP-SILV-B-156,SILV-156
3767,SP-CASS-C-068,CASS-068
3768,SC-MATE-F-004,MATE-004
3769,SP-CASS-C-077,CASS-077
3770,SP-SILV-B-277,SILV-277
3771,SP-CASS-C-076,CASS-076
3772,SC-MATE-F-005,MATE-005
3773,SP-SILV-B-276,SILV-276
3774,SP-CASS-C-075,CASS-075
3775,SP-SILV-B-275,SILV-275
3776,SC-MATE-F-006,MATE-006
3777,SP-CASS-C-088,CASS-088
3778,SP-SILV-B-274,SILV-274
3779,SC-MATE-F-072,MATE-072
3780,SP-CASS-C-089,CASS-089
3781,SP-SILV-B-273,SILV-273
3782,SC-MATE-F-007,MATE-007
3783,SP-CASS-C-080,CASS-080
3784,SP-SILV-B-281,SILV-281
3785,SC-MATE-F-061,MATE-061
3786,SP-CASS-C-027,CASS-027
3787,SP-SILV-B-279,SILV-279
3788,SC-MATE-F-012,MATE-012
3789,SP-CASS-C-028,CASS-028
3790,SP-SILV-B-278,SILV-278
3791,SC-MATE-F-013,MATE-013
3792,SP-CASS-C-029,CASS-029
3793,SP-SILV-B-348,SILV-348
3794,SC-MATE-F-058,MATE-058
3795,SP-SILV-B-286,SILV-286
3796,SP-CASS-E-107,CASS-107
3797,SC-MATE-F-016,MATE-016
3798,SP-SILV-B-285,SILV-285
3799,SP-CASS-E-106,CASS-106
3800,SC-MATE-F-052,MATE-052
3801,SP-SILV-B-270,SILV-270
3802,SC-MATE-F-053,MATE-053
3803,SP-CASS-E-103,CASS-103
3804,SP-SILV-C-288,SILV-288
3805,SC-MATE-F-057,MATE-057
3806,SP-CASS-E-104,CASS-104
3807,SP-SILV-C-347,SILV-347
3808,SC-MATE-F-011,MATE-011
3809,SP-CASS-E-105,CASS-105
3810,SM-BORT-A-084,BORT-084
3811,SC-MATE-F-062,MATE-062
3812,SP-SILV-D-312,SILV-312
3813,SM-BORT-A-083,BORT-083
3814,SC-MATE-F-010,MATE-010
3815,SP-SILV-D-300,SILV-300
3816,SC-MATE-F-009,MATE-009
3817,SP-SILV-E-301,SILV-301
3818,SM-BORT-A-077,BORT-077
3819,SC-2TOR-D-054,2TOR-054
3820,SP-SILV-E-005,SILV-005
3821,SM-BORT-A-081,BORT-081
3822,SC-2TOR-D-052,2TOR-052
3823,SP-SILV-F-310,SILV-310
3824,SM-BORT-A-062,BORT-062
3825,SC-2TOR-D-061,2TOR-061
3826,SP-SILV-F-308,SILV-308
3827,SM-BORT-A-063,BORT-063
3828,SC-2TOR-D-058,2TOR-058
3829,SP-SILV-F-307,SILV-307
3830,SM-BORT-A-068,BORT-068
3831,SC-2TOR-D-056,2TOR-056
3832,SP-SILV-F-306,SILV-306
3833,SC-2TOR-D-013,2TOR-013
3834,SP-SILV-F-304,SILV-304
3835,SC-2TOR-D-014,2TOR-014
3836,SP-SILV-G-009,SILV-009
3837,SC-2TOR-D-070,2TOR-070
3838,SP-SILV-G-006,SILV-006
3839,SM-BORT-B-076,BORT-076
3840,SC-2TOR-D-067,2TOR-067
3841,SP-SILV-G-302,SILV-302
3842,SM-BORT-B-050,BORT-050
3843,SC-2TOR-D-068,2TOR-068
3844,SP-SILV-G-007,SILV-007
3845,SM-BORT-B-049,BORT-049
3846,SP-SILV-G-008,SILV-008
3847,SC-2TOR-D-069,2TOR-069
3848,SM-BORT-B-085,BORT-085
3849,SP-SILV-H-258,SILV-258
3850,SC-2TOR-D-015,2TOR-015
3851,SM-BORT-B-086,BORT-086
3852,SP-SILV-H-259,SILV-259
3853,SC-2TOR-D-016,2TOR-016
3854,SP-SILV-I-351,SILV-351
3855,SC-2TOR-D-017,2TOR-017
3856,SP-SILV-H-260,SILV-260
3857,SM-BORT-C-088,BORT-088
3858,SC-2TOR-D-018,2TOR-018
3859,SP-SILV-H-261,SILV-261
3860,SM-BORT-C-089,BORT-089
3861,SP-CASS-C-086,CASS-086
3862,SP-SILV-J-262,SILV-262
3863,SM-BORT-C-090,BORT-090
3864,SP-CASS-C-085,CASS-085
3865,SP-SILV-J-242,SILV-242
3866,SM-BORT-D-208,BORT-208
3867,SP-CASS-C-083,CASS-083
3868,SP-SILV-J-241,SILV-241
3869,SM-BORT-E-207,BORT-207
3870,SP-CASS-C-084,CASS-084
3871,SP-SILV-J-243,SILV-243
3872,SM-BORT-E-206,BORT-206
3873,SP-CASS-C-087,CASS-087
3874,SP-SILV-J-244,SILV-244
3875,SM-BORT-F-094,BORT-094
3876,SP-SILV-K-305,SILV-305
3877,SP-CASS-F-169,CASS-169
3878,SP-SILV-K-235,SILV-235
3879,SP-CASS-F-015,CASS-015
3880,SP-SILV-K-233,SILV-233
3881,SP-CASS-F-167,CASS-167
3882,SP-SILV-K-237,SILV-237
3883,SP-CASS-F-168,CASS-168
3884,SP-SILV-K-238,SILV-238
3885,SP-CASS-F-018,CASS-018
3886,SM-BORT-E-205,BORT-205
3887,SP-SILV-K-011,SILV-011
3888,SP-CASS-F-019,CASS-019
3889,SM-BORT-E-004,BORT-004
3890,SP-SILV-K-012,SILV-012
3891,SP-CASS-F-020,CASS-020
3892,SM-BORT-E-003,BORT-003
3893,SP-SILV-K-010,SILV-010
3894,SP-CASS-G-001,CASS-001
3895,SM-BORT-E-203,BORT-203
3896,SP-SILV-L-175,SILV-175
3897,SP-CASS-G-002,CASS-002
3898,SM-BORT-E-202,BORT-202
3899,SP-SILV-L-174,SILV-174
3900,SP-CASS-G-003,CASS-003
3901,SM-BORT-E-204,BORT-204
3902,SP-CASS-H-099,CASS-099
3903,SP-CASS-G-172,CASS-172
3904,SP-CASS-H-097,CASS-097
3905,SM-BORT-E-196,BORT-196
3906,SP-CASS-G-171,CASS-171
3907,SP-CASS-H-098,CASS-098
3908,SM-BORT-E-005,BORT-005
3909,SP-CASS-G-170,CASS-170
3910,SP-CASS-H-096,CASS-096
3911,SM-BORT-G-096,BORT-096
3912,SP-CASS-G-004,CASS-004
3913,SP-CASS-H-095,CASS-095
3914,SM-BORT-G-095,BORT-095
3915,SP-CASS-G-005,CASS-005
3916,SP-CASS-H-094,CASS-094
3917,SM-BORT-G-097,BORT-097
3918,SP-CASS-G-006,CASS-006
3919,SM-BORT-H-194,BORT-194
3920,SP-CASS-H-093,CASS-093
3921,SP-CASS-G-014,CASS-014
3922,SM-BORT-E-193,BORT-193
3923,SP-SILV-L-183,SILV-183
3924,SP-CASS-G-011,CASS-011
3925,SM-BORT-E-195,BORT-195
3926,SP-SILV-L-226,SILV-226
3927,SP-CASS-G-010,CASS-010
3928,SM-BORT-E-190,BORT-190
3929,SP-SILV-L-225,SILV-225
3930,SM-BORT-E-198,BORT-198
3931,SP-CASS-G-009,CASS-009
3932,SP-SILV-L-227,SILV-227
3933,SP-SILV-L-228,SILV-228
3934,SM-BORT-E-188,BORT-188
3935,SP-CASS-G-008,CASS-008
3936,SP-SILV-L-184,SILV-184
3937,SM-BORT-E-189,BORT-189
3938,SP-CASS-G-007,CASS-007
3939,SP-SILV-L-185,SILV-185
3940,SC-2TOR-E-005,2TOR-005
3941,SP-BOLD-I-064,BOLD-064
3942,SC-2TOR-E-008,2TOR-008
3943,SP-SILV-B-263,SILV-263
3944,SM-BORT-E-181,BORT-181
3945,SP-MELO-A-044,MELO-044
3946,SC-2TOR-E-079,2TOR-079
3947,SM-BORT-E-182,BORT-182
3948,SP-SILV-M-085,SILV-085
3949,SC-2TOR-E-078,2TOR-078
3950,SM-BORT-E-183,BORT-183
3951,SC-2TOR-E-076,2TOR-076
3952,SP-POLO-A-074,POLO-074
3953,SM-BORT-E-187,BORT-187
3954,SC-2TOR-E-075,2TOR-075
3955,SC-ORIO-L-050,ORIO-050
3956,SM-BORT-E-179,BORT-179
3957,SC-2TOR-E-074,2TOR-074
3958,SP-CASS-I-065,CASS-065
3959,SM-BORT-E-184,BORT-184
3960,SC-2TOR-E-065,2TOR-065
3961,SP-CASS-J-131,CASS-131
3962,SM-BORT-E-047,BORT-047
3963,SC-2TOR-E-012,2TOR-012
3964,SP-CASS-K-156,CASS-156
3965,SM-BORT-E-010,BORT-010
3966,SC-2TOR-E-073,2TOR-073
3967,SC-STAE-B-038,STAE-038
3968,SM-BORT-E-098,BORT-098
3969,SC-2TOR-E-066,2TOR-066
3970,SC-2TOR-E-072,2TOR-072
3971,SM-BORT-E-177,BORT-177
3972,SC-MOCE-B-040,MOCE-040
3973,SC-2TOR-E-071,2TOR-071
3974,SM-BORT-E-175,BORT-175
3975,SC-MOCE-B-043,MOCE-043
3976,SP-CASS-J-173,CASS-173
3977,SM-BORT-E-178,BORT-178
3978,SC-MOCE-B-042,MOCE-042
3979,SP-CASS-J-174,CASS-174
3980,SC-MOCE-B-041,MOCE-041
3981,SP-CASS-J-164,CASS-164
3982,SC-MOCE-A-034,MOCE-034
3983,SP-CASS-J-165,CASS-165
3984,SM-BORT-E-176,BORT-176
3985,CN-APOS-A-009,APOS-009
3986,SP-CASS-J-166,CASS-166
3987,CN-APOS-W-092,APOS-092
3988,SM-BORT-E-045,BORT-045
3989,SP-CASS-J-136,CASS-136
3990,CN-APOS-W-079,APOS-079
3991,SP-CASS-J-135,CASS-135
3992,SM-BORT-E-011,BORT-011
3993,CN-APOS-W-077,APOS-077
3994,SP-CASS-J-134,CASS-134
3995,SM-BORT-E-174,BORT-174
3996,CN-APOS-W-076,APOS-076
3997,SP-CASS-J-130,CASS-130
3998,CS-FAVA-A-059,FAVA-059
3999,CN-APOS-W-075,APOS-075
4000,SP-CASS-J-129,CASS-129
4001,CS-FAVA-A-058,FAVA-058
4002,CN-APOS-W-074,APOS-074
4003,SP-CASS-L-128,CASS-128
4004,CS-FAVA-A-057,FAVA-057
4005,CN-APOS-B-087,APOS-087
4006,SP-CASS-L-123,CASS-123
4007,CS-FAVA-A-056,FAVA-056
4008,CN-APOS-B-080,APOS-080
4009,SP-CASS-L-122,CASS-122
4010,CS-FAVA-A-055,FAVA-055
4011,CN-APOS-B-081,APOS-081
4012,SP-CASS-L-121,CASS-121
4013,CS-FAVA-A-054,FAVA-054
4014,CN-APOS-B-082,APOS-082
4015,SP-CASS-M-021,CASS-021
4016,CS-FAVA-A-053,FAVA-053
4017,SP-CASS-M-022,CASS-022
4018,CN-APOS-B-084,APOS-084
4019,SP-CASS-M-125,CASS-125
4020,CN-APOS-B-063,APOS-063
4021,SP-CASS-M-126,CASS-126
4022,SP-CASS-M-082,CASS-082
4023,CN-APOS-H-010,APOS-010
4024,SP-CASS-M-023,CASS-023
4025,CS-FAVA-B-052,FAVA-052
4026,CN-APOS-H-011,APOS-011
4027,CS-FAVA-B-003,FAVA-003
4028,SP-CASS-M-024,CASS-024
4029,CN-APOS-H-054,APOS-054
4030,CS-FAVA-C-050,FAVA-050
4031,SP-CASS-M-127,CASS-127
4032,CN-APOS-H-053,APOS-053
4033,CS-FAVA-C-049,FAVA-049
4034,SP-CASS-E-115,CASS-115
4035,CN-APOS-H-013,APOS-013
4036,CS-FAVA-D-041,FAVA-041
4037,SP-CASS-E-113,CASS-113
4038,CN-APOS-B-052,APOS-052
4039,CS-FAVA-C-051,FAVA-051
4040,SP-CASS-E-110,CASS-110
4041,CN-APOS-B-064,APOS-064
4042,CS-FAVA-C-004,FAVA-004
4043,SP-CASS-E-108,CASS-108
4044,CN-APOS-W-050,APOS-050
4045,CS-FAVA-E-048,FAVA-048
4046,SP-CASS-E-109,CASS-109
4047,CN-APOS-W-067,APOS-067
4048,CS-FAVA-E-047,FAVA-047
4049,SP-CASS-K-155,CASS-155
4050,CN-APOS-W-066,APOS-066
4051,CS-FAVA-F-060,FAVA-060
4052,SP-CASS-K-157,CASS-157
4053,CN-APOS-W-049,APOS-049
4054,CS-FAVA-F-079,FAVA-079
4055,SP-CASS-K-152,CASS-152
4056,CN-APOS-I-094,APOS-094
4057,SP-CASS-K-153,CASS-153
4058,CN-APOS-I-095,APOS-095
4059,SP-CASS-K-149,CASS-149
4060,CN-APOS-I-070,APOS-070
4061,CS-FAVA-F-061,FAVA-061
4062,SP-CASS-K-150,CASS-150
4063,CN-APOS-I-046,APOS-046
4064,CS-FAVA-F-077,FAVA-077
4065,SP-CASS-K-148,CASS-148
4066,CN-APOS-I-047,APOS-047
4067,CS-FAVA-F-078,FAVA-078
4068,SP-CASS-K-143,CASS-143
4069,CN-2POZ-B-008,2POZ-008
4070,CS-FAVA-F-076,FAVA-076
4071,SP-CASS-K-154,CASS-154
4072,CN-APOS-J-157,APOS-157
4073,CS-FAVA-F-063,FAVA-063
4074,SP-CASS-K-145,CASS-145
4075,CS-FAVA-F-074,FAVA-074
4076,CN-APOS-J-152,APOS-152
4077,SP-CASS-K-146,CASS-146
4078,CS-FAVA-F-065,FAVA-065
4079,CN-APOS-J-156,APOS-156
4080,SP-SILV-N-311,SILV-311
4081,CS-FAVA-F-068,FAVA-068
4082,CN-APOS-J-155,APOS-155
4083,SP-SILV-O-003,SILV-003
4084,CN-APOS-J-154,APOS-154
4085,CS-FAVA-F-072,FAVA-072
4086,CN-FELI-F-023,FELI-023
4087,CN-APOS-J-153,APOS-153
4088,CS-FAVA-F-071,FAVA-071
4089,CN-FELI-F-018,FELI-018
4090,CN-APOS-J-147,APOS-147
4091,CN-FELI-F-016,FELI-016
4092,CN-APOS-J-148,APOS-148
4093,CN-FELI-G-019,FELI-019
4094,CS-FAVA-F-070,FAVA-070
4095,CN-APOS-J-097,APOS-097
4096,CN-FELI-G-020,FELI-020
4097,CS-MARI-A-070,MARI-070
4098,CN-APOS-X-045,APOS-045
4099,CN-APOS-Y-185,APOS-185
4100,CS-MARI-A-002,MARI-002
4101,CN-APOS-Z-099,APOS-099
4102,CN-APOS-Y-186,APOS-186
4103,CN-APOS-Z-100,APOS-100
4104,CS-MARI-A-003,MARI-003
4105,CN-APOS-Y-197,APOS-197
4106,CS-MARI-A-069,MARI-069
4107,CN-APOS-K-101,APOS-101
4108,CN-APOS-AA-187,APOS-187
4109,CS-MARI-A-053,MARI-053
4110,CN-APOS-K-117,APOS-117
4111,CN-APOS-AA-188,APOS-188
4112,CS-MARI-A-055,MARI-055
4113,CN-APOS-K-116,APOS-116
4114,CN-APOS-AA-192,APOS-192
4115,CN-APOS-K-118,APOS-118
4116,CS-MARI-A-068,MARI-068
4117,CN-APOS-AA-193,APOS-193
4118,CS-MARI-A-065,MARI-065
4119,CN-APOS-K-119,APOS-119
4120,CN-APOS-AA-194,APOS-194
4121,CS-MARI-A-067,MARI-067
4122,CN-APOS-K-098,APOS-098
4123,CN-APOS-AA-191,APOS-191
4124,CN-APOS-K-120,APOS-120
4125,CN-APOS-AA-189,APOS-189
4126,CN-APOS-K-121,APOS-121
4127,CN-APOS-AA-190,APOS-190
4128,CN-APOS-K-122,APOS-122
4129,CS-MARI-A-005,MARI-005
4130,SC-STAE-A-103,STAE-103
4131,CN-APOS-K-123,APOS-123
4132,CS-MARI-A-056,MARI-056
4133,CN-APOS-K-130,APOS-130
4134,SC-STAE-A-098,STAE-098
4135,CS-MARI-A-057,MARI-057
4136,CN-APOS-K-144,APOS-144
4137,SC-STAE-A-097,STAE-097
4138,CN-APOS-AA-014,APOS-014
4139,CS-MARI-A-058,MARI-058
4140,SC-STAE-A-105,STAE-105
4141,CS-MARI-A-006,MARI-006
4142,CN-APOS-AA-015,APOS-015
4143,SC-STAE-A-106,STAE-106
4144,CS-MARI-A-064,MARI-064
4145,CN-APOS-S-016,APOS-016
4146,SC-STAE-A-107,STAE-107
4147,CS-MARI-B-062,MARI-062
4148,CN-APOS-S-017,APOS-017
4149,SC-STAE-D-102,STAE-102
4150,CS-MARI-B-060,MARI-060
4151,CN-APOS-T-020,APOS-020
4152,CS-MARI-C-010,MARI-010
4153,SC-STAE-D-073,STAE-073
4154,CN-APOS-T-021,APOS-021
4155,CS-MARI-C-011,MARI-011
4156,SC-STAE-D-009,STAE-009
4157,CN-APOS-U-043,APOS-043
4158,CS-MARI-B-063,MARI-063
4159,SC-STAE-D-101,STAE-101
4160,CN-APOS-U-044,APOS-044
4161,CS-MARI-A-001,MARI-001
4162,SC-STAE-D-076,STAE-076
4163,CN-APOS-U-042,APOS-042
4164,SP-SILV-P-256,SILV-256
4165,SC-STAE-D-077,STAE-077
4166,CN-APOS-U-041,APOS-041
4167,SP-SILV-Q-295,SILV-295
4168,SC-STAE-D-078,STAE-078
4169,CN-APOS-R-025,APOS-025
4170,SP-SILV-Q-293,SILV-293
4171,SC-STAE-D-079,STAE-079
4172,CN-APOS-R-040,APOS-040
4173,SP-SILV-R-320,SILV-320
4174,SC-STAE-D-012,STAE-012
4175,CN-APOS-R-030,APOS-030
4176,SC-STAE-D-013,STAE-013
4177,SP-SILV-S-321,SILV-321
4178,CN-APOS-R-029,APOS-029
4179,SC-STAE-D-066,STAE-066
4180,SP-SILV-T-322,SILV-322
4181,CN-APOS-R-032,APOS-032
4182,SC-STAE-D-065,STAE-065
4183,SP-SILV-T-323,SILV-323
4184,CN-APOS-R-038,APOS-038
4185,SC-STAE-D-014,STAE-014
4186,SP-SILV-U-331,SILV-331
4187,CN-APOS-R-039,APOS-039
4188,SC-STAE-D-015,STAE-015
4189,SP-SILV-U-319,SILV-319
4190,CN-APOS-R-036,APOS-036
4191,SC-STAE-D-016,STAE-016
4192,SP-SILV-U-335,SILV-335
4193,CN-APOS-R-035,APOS-035
4194,SC-STAE-E-086,STAE-086
4195,SP-SILV-U-332,SILV-332
4196,CN-APOS-R-034,APOS-034
4197,SC-STAE-E-084,STAE-084
4198,SP-SILV-V-324,SILV-324
4199,SP-SILV-U-338,SILV-338
4200,SC-STAE-E-083,STAE-083
4201,SP-SILV-V-328,SILV-328
4202,CN-APOS-L-201,APOS-201
4203,SC-STAE-E-085,STAE-085
4204,SP-SILV-T-327,SILV-327
4205,CN-APOS-L-295,APOS-295
4206,SC-STAE-E-081,STAE-081
4207,SP-SILV-W-317,SILV-317
4208,CN-APOS-V-294,APOS-294
4209,SP-SILV-W-340,SILV-340
4210,SC-MOCE-C-017,MOCE-017
4211,CN-APOS-V-297,APOS-297
4212,SP-SILV-W-316,SILV-316
4213,CN-APOS-V-203,APOS-203
4214,SP-SILV-X-344,SILV-344
4215,SC-MOCE-C-016,MOCE-016
4216,CN-APOS-V-204,APOS-204
4217,CN-GRIS-A-016,GRIS-016
4218,SC-MOCE-C-015,MOCE-015
4219,CN-APOS-V-298,APOS-298
4220,CN-GRIS-A-012,GRIS-012
4221,SC-MOCE-C-019,MOCE-019
4222,CN-APOS-V-205,APOS-205
4223,CN-GRIS-A-018,GRIS-018
4224,SC-MOCE-C-018,MOCE-018
4225,CN-APOS-L-112,APOS-112
4226,CN-GRIS-A-023,GRIS-023
4227,SC-MOCE-C-050,MOCE-050
4228,CN-APOS-L-135,APOS-135
4229,CN-GRIS-A-021,GRIS-021
4230,SC-MOCE-C-012,MOCE-012
4231,CN-APOS-L-132,APOS-132
4232,CN-GRIS-A-020,GRIS-020
4233,SC-MOCE-C-011,MOCE-011
4234,CN-APOS-L-113,APOS-113
4235,CN-GRIS-A-024,GRIS-024
4236,SC-MOCE-C-010,MOCE-010
4237,CN-APOS-L-131,APOS-131
4238,CN-GRIS-A-025,GRIS-025
4239,SC-MOCE-C-008,MOCE-008
4240,CN-APOS-L-139,APOS-139
4241,CN-GRIS-A-010,GRIS-010
4242,SC-MOCE-D-007,MOCE-007
4243,CN-APOS-AB-104,APOS-104
4244,CN-GRIS-A-009,GRIS-009
4245,SC-MOCE-D-006,MOCE-006
4246,CN-APOS-AB-105,APOS-105
4247,CN-GRIS-A-008,GRIS-008
4248,CN-APOS-AB-103,APOS-103
4249,SC-MOCE-D-009,MOCE-009
4250,CN-GRIS-A-019,GRIS-019
4251,CN-APOS-AB-102,APOS-102
4252,SC-MOCE-E-003,MOCE-003
4253,CN-APOS-AB-106,APOS-106
4254,CN-GRIS-A-011,GRIS-011
4255,SC-STAE-F-092,STAE-092
4256,CN-APOS-AB-111,APOS-111
4257,CN-GRIS-A-004,GRIS-004
4258,SC-STAE-F-091,STAE-091
4259,CN-APOS-AC-110,APOS-110
4260,CN-GRIS-A-035,GRIS-035
4261,SC-STAE-F-093,STAE-093
4262,CN-APOS-AC-109,APOS-109
4263,CN-GRIS-A-001,GRIS-001
4264,SC-STAE-F-090,STAE-090
4265,CN-APOS-AC-107,APOS-107
4266,CN-GRIS-A-003,GRIS-003
4267,SC-STAE-F-089,STAE-089
4268,CN-APOS-AC-108,APOS-108
4269,CN-GRIS-A-030,GRIS-030
4270,SC-STAE-F-087,STAE-087
4271,CN-APOS-AC-209,APOS-209
4272,CN-GRIS-A-031,GRIS-031
4273,SC-STAE-F-088,STAE-088
4274,CN-APOS-AC-208,APOS-208
4275,CN-CANC-C-061,CANC-061
4276,CN-APOS-AC-207,APOS-207
4277,SC-STAE-F-096,STAE-096
4278,CN-CANC-C-060,CANC-060
4279,SC-STAE-F-095,STAE-095
4280,CN-CANC-E-021,CANC-021
4281,CN-APOS-D-318,APOS-318
4282,CN-CANC-E-022,CANC-022
4283,SC-STAE-F-094,STAE-094
4284,CN-APOS-AD-313,APOS-313
4285,CN-CANC-E-023,CANC-023
4286,SC-2TOR-F-080,2TOR-080
4287,CN-APOS-AD-317,APOS-317
4288,CN-CANC-G-015,CANC-015
4289,SC-2TOR-F-001,2TOR-001
4290,CN-APOS-AD-316,APOS-316
4291,CN-CANC-G-018,CANC-018
4292,SC-2TOR-F-002,2TOR-002
4293,CN-APOS-AE-287,APOS-287
4294,CN-CANC-G-017,CANC-017
4295,SC-2TOR-F-082,2TOR-082
4296,CN-APOS-AE-288,APOS-288
4297,CN-CANC-G-032,CANC-032
4298,SC-2TOR-F-081,2TOR-081
4299,CN-CANC-G-016,CANC-016
4300,CN-APOS-AE-289,APOS-289
4301,SC-2TOR-F-062,2TOR-062
4302,CN-CANC-G-033,CANC-033
4303,CN-APOS-AE-290,APOS-290
4304,SC-2TOR-F-063,2TOR-063
4305,CN-CANC-G-034,CANC-034
4306,CN-APOS-AE-291,APOS-291
4307,SC-2TOR-F-064,2TOR-064
4308,CN-CANC-G-035,CANC-035
4309,CN-APOS-AF-301,APOS-301
4310,SC-ORIO-E-046,ORIO-046
4311,CN-CANC-G-036,CANC-036
4312,CN-APOS-AF-302,APOS-302
4313,SC-ORIO-E-047,ORIO-047
4314,CN-CANC-G-042,CANC-042
4315,CN-APOS-AF-303,APOS-303
4316,SC-ORIO-E-048,ORIO-048
4317,CN-CANC-H-043,CANC-043
4318,CN-APOS-AF-304,APOS-304
4319,SC-ORIO-E-049,ORIO-049
4320,CN-CANC-H-044,CANC-044
4321,CN-APOS-AG-300,APOS-300
4322,SC-ORIO-E-043,ORIO-043
4323,CN-CANC-H-046,CANC-046
4324,CN-APOS-AH-293,APOS-293
4325,SC-ORIO-E-042,ORIO-042
4326,SM-BORT-A-064,BORT-064
4327,CN-APOS-AH-285,APOS-285
4328,SC-ORIO-E-041,ORIO-041
4329,CN-GRIS-B-069,GRIS-069
4330,CN-APOS-AH-286,APOS-286
4331,SC-ORIO-E-060,ORIO-060
4332,SP-SILV-X-355,SILV-355
4333,CN-APOS-AH-292,APOS-292
4334,SC-ORIO-E-062,ORIO-062
4335,SP-SILV-X-354,SILV-354
4336,CN-APOS-AH-284,APOS-284
4337,SC-ORIO-E-063,ORIO-063
4338,CN-APOS-AH-283,APOS-283
4339,SP-SILV-X-353,SILV-353
4340,SC-ORIO-E-056,ORIO-056
4341,CN-APOS-AH-282,APOS-282
4342,SP-SILV-X-352,SILV-352
4343,SC-ORIO-E-055,ORIO-055
4344,CN-APOS-Q-236,APOS-236
4345,CN-GRIS-B-043,GRIS-043
4346,SC-ORIO-M-081,ORIO-081
4347,CN-APOS-Q-242,APOS-242
4348,CN-GRIS-B-044,GRIS-044
4349,CN-APOS-Q-241,APOS-241
4350,SC-ORIO-M-086,ORIO-086
4351,CN-GRIS-B-055,GRIS-055
4352,CN-APOS-Q-238,APOS-238
4353,SC-ORIO-M-084,ORIO-084
4354,CN-GRIS-B-047,GRIS-047
4355,CN-APOS-AI-233,APOS-233
4356,SC-MEGI-A-015,MEGI-015
4357,CN-GRIS-B-046,GRIS-046
4358,CN-APOS-AI-253,APOS-253
4359,SC-MEGI-A-014,MEGI-014
4360,CN-GRIS-B-048,GRIS-048
4361,CN-APOS-AI-232,APOS-232
4362,SC-MEGI-A-013,MEGI-013
4363,CN-GRIS-B-071,GRIS-071
4364,SC-MEGI-B-012,MEGI-012
4365,CN-APOS-AI-250,APOS-250
4366,CN-GRIS-B-049,GRIS-049
4367,SC-MEGI-B-009,MEGI-009
4368,CN-APOS-AI-251,APOS-251
4369,CN-GRIS-B-041,GRIS-041
4370,SC-MEGI-B-010,MEGI-010
4371,CN-APOS-AI-252,APOS-252
4372,CN-GRIS-B-042,GRIS-042
4373,SC-MEGI-A-018,MEGI-018
4374,CN-GRIS-B-040,GRIS-040
4375,CN-APOS-AJ-213,APOS-213
4376,SC-MEGI-C-006,MEGI-006
4377,CN-GRIS-B-039,GRIS-039
4378,CN-APOS-AJ-212,APOS-212
4379,SC-MEGI-C-007,MEGI-007
4380,CN-GRIS-B-057,GRIS-057
4381,CN-APOS-P-218,APOS-218
4382,SC-MEGI-C-008,MEGI-008
4383,CN-GRIS-B-050,GRIS-050
4384,CN-APOS-P-219,APOS-219
4385,SC-STAE-G-060,STAE-060
4386,CN-GRIS-B-058,GRIS-058
4387,CN-APOS-P-217,APOS-217
4388,SC-STAE-H-049,STAE-049
4389,CN-GRIS-B-070,GRIS-070
4390,CN-APOS-P-216,APOS-216
4391,SC-STAE-H-048,STAE-048
4392,CN-GRIS-B-072,GRIS-072
4393,CN-APOS-P-214,APOS-214
4394,SC-STAE-H-019,STAE-019
4395,CN-GRIS-B-068,GRIS-068
4396,CN-APOS-P-215,APOS-215
4397,SC-STAE-I-057,STAE-057
4398,CN-APOS-P-221,APOS-221
4399,CN-GRIS-B-073,GRIS-073
4400,SC-STAE-I-058,STAE-058
4401,CN-APOS-P-222,APOS-222
4402,CN-GRIS-B-067,GRIS-067
4403,SC-STAE-I-059,STAE-059
4404,CN-APOS-P-223,APOS-223
4405,CN-GRIS-B-066,GRIS-066
4406,CN-APOS-P-231,APOS-231
4407,SC-STAE-J-050,STAE-050
4408,CN-GRIS-B-062,GRIS-062
4409,CN-APOS-P-229,APOS-229
4410,SC-STAE-J-051,STAE-051
4411,CN-GRIS-B-060,GRIS-060
4412,CN-APOS-P-226,APOS-226
4413,SC-STAE-J-020,STAE-020
4414,CN-GRIS-B-059,GRIS-059
4415,CN-APOS-P-220,APOS-220
4416,SC-STAE-J-023,STAE-023
4417,CN-GRIS-B-038,GRIS-038
4418,CN-CANC-B-078,CANC-078
4419,SC-STAE-A-004,STAE-004
4420,CN-GRIS-B-065,GRIS-065
4421,CN-CANC-B-079,CANC-079
4422,SC-STAE-A-005,STAE-005
4423,CN-GRIS-B-037,GRIS-037
4424,CN-CANC-B-080,CANC-080
4425,SC-STAE-A-006,STAE-006
4426,CN-GRIS-B-036,GRIS-036
4427,CN-CANC-B-081,CANC-081
4428,SC-STAE-A-007,STAE-007
4429,CS-MARI-D-052,MARI-052
4430,CN-CANC-B-082,CANC-082
4431,SC-STAE-A-072,STAE-072
4432,CS-MARI-D-051,MARI-051
4433,CN-CANC-B-076,CANC-076
4434,SC-STAE-A-071,STAE-071
4435,CS-MARI-D-048,MARI-048
