short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie,Measured Height,Floors,Hotel? (blank or 1),Church?  (blank or 1),Museum?  (blank or 1),City Building?  (blank or 1),Notes
NOMB-082,A,14.13,0.95,63.17,,,,,,,
NOMB-083,A,0,0,47.98,,,,,,,
NOMB-084,B,13.1,0.95,110.67,,,,,,,
NOMB-085,A,0,0,50.72,,,,,,,
NOMB-086,A,14.35,0.95,59.26,,,,,,,
NOMB-087,A,16.12,0.95,286.08,,,,,,,
NOMB-088,Bg,9999,1.05,173.15,,,,,,,
NOMB-089,B,11.38,1.05,89.95,,,,,,,
NOMB-090,Bg,9999,1.05,536.31,,,,,,,
NOMB-091,A1,9.46,1.05,58.75,,,,,,,
NOMB-092,A1,10.27,1.05,71,,,,,,,
NOMB-093,A,11.62,1.05,178.11,,,,,,,
NOMB-094,A,0,1.05,42.42,,,,,,,
NOMB-095,pt,10.47,1.05,137.74,,,,,,,
NOMB-096,C,9999,1.05,5585.03,,,,,,,
NOMB-097,B,9.74,1.05,93.57,,,,,,,
NOMB-098,B,9999,1.05,951.47,,,,,,,
NOMB-099,B,9999,1.15,9005.08,,,,,,,
NOMB-100,C,0,1.05,147.44,,,,,,,
NOMB-101,A1,14.6,1.15,58.8,,,,,,,
NOMB-102,A1,10.6,1.15,45.36,,,,,,,
NOMB-103,Bg,11.2,1.15,45.87,,,,,,,
NOMB-104,C,19.7,1.15,394.04,,,,,,,
NOMB-105,Bg,12.6,1.15,96.47,,,,,,,
NOMB-106,Or,16.1,1.05,84.71,,,,,,,
NOMB-107,D,9999,1.05,6042.41,,,,,,,
NOMB-108,D,13.22,1.05,169.46,,,,,,,
NOMB-109,C,25.47,0.95,785.52,,,,,,,
NOMB-110,C,16.5,0.95,939.14,,,,,,,
NOMB-111,C,12.23,0.95,111.25,,,,,,,
NOMB-112,C,16.75,1.05,165.15,,,,,,,
NOMB-113,C,15.9,1.05,469.88,,,,,,,
NOMB-114,C,15.17,1.15,156.25,,,,,,,
NOMB~NO_BUILDING,,,,,,,,,,,
