Full_sesti,short_alias
CN5256,BIRI-054
CN5257,BIRI-054
CN5258,BIRI-060
CN5259,
CN5259A,BIRI-063
CN5259B,
CN5259C,
CN5259D,BIRI-167
CN5259E,BIRI-167
CN5259F,
CN5259G,
CN5259H,
CN5259K,BIRI-167
CN5259L,BIRI-167
CN5260,
CN5260B,BIRI-064
CN5261,BIRI-064
CN5261A,BIRI-052
CN5261B,BIRI-051
CN5261C,BIRI-050
CN5262,BIRI-050
CN5263,BIRI-065
CN5264,BIRI-066
CN5265,BIRI-066
CN5266,BIRI-067
CN5267,BIRI-067
CN5268,BIRI-069
CN5269,BIRI-069
CN5270,BIRI-069
CN5271,BIRI-067
CN5272,BIRI-066
CN5272A,BIRI-066
CN5275,BIRI-049
CN5276,BIRI-070
CN5277,BIRI-071
CN5278,BIRI-072
CN5279,BIRI-073
CN5280,BIRI-156
CN5281,BIRI-155
CN5282,BIRI-074
CN5283,BIRI-153
CN5284,BIRI-157
CN5285,BIRI-157
CN5286,BIRI-157
CN5287,BIRI-158
CN5288A,BIRI-159
CN5289,BIRI-168
CN5290,BIRI-168
CN5291,BIRI-014
CN5292,BIRI-014
CN5292A,BIRI-014
CN5294,BIRI-015
CN5295,BIRI-015
CN5296,BIRI-015
CN5297,BIRI-150
CN5298,BIRI-142
CN5299,BIRI-142
CN5299A,BIRI-140
CN5300,BIRI-139
CN5300A,BIRI-139
CN5301,BIRI-138
CN5302A,BIRI-136
CN5302B,BIRI-136
CN5302C,BIRI-138
CN5303,BIRI-141
CN5304,BIRI-219
CN5305,BIRI-143
CN5306,BIRI-150
CN5306A,BIRI-150
CN5306B,BIRI-150
CN5306C,BIRI-151
CN5307,BIRI-142
CN5307A,BIRI-142
CN5308,BIRI-142
CN5309,BIRI-140
CN5309A,BIRI-140
CN5310,BIRI-140
CN5311,BIRI-139
CN5312,BIRI-152
CN5312A,BIRI-152
CN5312B,BIRI-152
CN5313,
CN5314,BIRI-139
CN5315,BIRI-138
CN5316,BIRI-138
CN5317,BIRI-152
CN5318,BIRI-136
CN5319,BIRI-152
CN5320,BIRI-136
CN5321,BIRI-137
CN5322,BIRI-137
CN5323,BIRI-137
CN5324,BIRI-137
CN5325,BIRI-137
CN5326,BIRI-113
CN5326A,BIRI-113
CN5326B,BIRI-113
CN5326C,BIRI-113
CN5327,BIRI-086
CN5327A,BIRI-086
CN5328,BIRI-084
CN5329,BIRI-084
CN5329A,BIRI-084
CN5330,BIRI-083
CN5332,BIRI-086
CN5333,BIRI-085
CN5334,BIRI-085
CN5335,BIRI-082
CN5336,BIRI-082
CN5337,BIRI-081
CN5340,BIRI-110
CN5340A,BIRI-110
CN5341,BIRI-110
CN5342,BIRI-110
CN5343,BIRI-110
CN5344,BIRI-087
CN5345,BIRI-087
CN5345A,BIRI-115
CN5345B,
CN5345C,
CN5346,BIRI-135
CN5347,
CN5348,
CN5348A,
CN5348B,
CN5349,BIRI-217
CN5349B,BIRI-216
CN5350,BIRI-216
CN5351,BIRI-216
CN5352,BIRI-216
CN5353,BIRI-216
CN5354,
CN5355,BIRI-212
CN5355A,
CN5356,
CN5357,BIRI-213
CN5357A,BIRI-213
CN5358,BIRI-213
CN5359,BIRI-221
CN5359A,BIRI-221
CN5360,BIRI-221
CN5360A,BIRI-221
CN5361,
CN5362,BIRI-129
CN5363,BIRI-129
CN5364,BIRI-088
CN5364A,BIRI-089
CN5365,BIRI-109
CN5366,BIRI-109
CN5366A,BIRI-109
CN5367,
CN5368,BIRI-091
CN5369,BIRI-091
CN5370,BIRI-091
CN5371,BIRI-090
CN5372,BIRI-090
CN5373,BIRI-089
CN5374,BIRI-089
CN5375,BIRI-089
CN5376,BIRI-127
CN5376A,
CN5377,BIRI-130
CN5378,
CN5378A,BIRI-130
CN5378B,BIRI-130
CN5378C,BIRI-119
CN5378D,BIRI-119
CN5379,BIRI-120
CN5379A,BIRI-120
CN5379B,BIRI-120
CN5380,BIRI-133
CN5381,BIRI-133
CN5382,BIRI-133
CN5383,BIRI-133
CN5384,BIRI-225
CN5385,
CN5386A,BIRI-223
CN5386B,BIRI-224
CN5386C,BIRI-224
CN5386D,BIRI-224
CN5387,BIRI-132
CN5388,
CN5389,BIRI-121
CN5389A,
CN5390,
CN5390A,BIRI-122
CN5391,BIRI-125
CN5392A,
CN5392B,BIRI-126
CN5392C,BIRI-126
CN5392D,BIRI-126
CN5393,BIRI-092
CN5394,
CN5394A,BIRI-100
CN5394B,BIRI-104
CN5394C,BIRI-093
CN5394D,BIRI-093
CN5394E,BIRI-093
CN5395,BIRI-100
CN5395A,BIRI-100
CN5396,BIRI-100
CN5396A,BIRI-099
CN5397,BIRI-099
CN5398,BIRI-099
CN5398A,BIRI-099
CN5399,BIRI-096
CN5399A,BIRI-096
CN5401,BIRI-097
CN5401A,BIRI-097
CN5401B,BIRI-097
CN5401C,BIRI-097
CN5401D,BIRI-097
CN5402,BIRI-097
CN5403,BIRI-107
CN5404,BIRI-107
CN5404A,BIRI-107
CN5404B,BIRI-107
CN5405,BIRI-106
CN5405A,BIRI-106
CN5406,BIRI-106
CN5406A,
CN5407,BIRI-103
CN5408,BIRI-101
CN5408A,BIRI-101
CN5409,BIRI-101
CN5410,BIRI-101
CN5411,BIRI-101
CN5412,
CN5413,
CN5414,BIRI-103
CN5415,BIRI-103
CN5416,BIRI-103
CN5419,BIRI-108
CN5419A,BIRI-108
CN5419B,BIRI-108
CN5419C,BIRI-108
CN5420,BIRI-037
CN5420A,BIRI-037
CN5421,BIRI-037
CN5421A,BIRI-037
CN5422,BIRI-081
CN5422A,BIRI-081
CN5423,BIRI-080
CN5423A,BIRI-080
CN5423B,BIRI-080
CN5424,BIRI-111
CN5425,BIRI-111
CN5426,BIRI-111
CN5427,BIRI-112
CN5427A,
CN5428,BIRI-019
CN5429,BIRI-019
CN5430,BIRI-019
CN5431,BIRI-075
CN5431A,BIRI-075
CN5432,BIRI-075
CN5433,BIRI-075
CN5434,
CN5434A,
CN5434B,BIRI-049
CN5434C,BIRI-049
CN5435,BIRI-076
CN5435A,BIRI-076
CN5435B,BIRI-076
CN5435C,BIRI-076
CN5435D,BIRI-079
CN5435E,BIRI-079
CN5435F,BIRI-079
CN5435G,BIRI-079
CN5435H,BIRI-079
CN5435I,BIRI-048
CN5435L,BIRI-048
CN5435M,BIRI-049
CN5436,BIRI-076
CN5437,BIRI-076
CN5437A,BIRI-076
CN5438,BIRI-076
CN5439,BIRI-079
CN5440,BIRI-079
CN5441,
CN5441A,BIRI-079
CN5442,BIRI-020
CN5443,BIRI-020
CN5444,BIRI-021
CN5444A,BIRI-021
CN5445,BIRI-022
CN5445A,BIRI-022
CN5446,BIRI-022
CN5447,BIRI-022
CN5448,BIRI-022
CN5449,BIRI-022
CN5450,BIRI-022
CN5451,BIRI-022
CN5452,BIRI-022
CN5453,BIRI-022
CN5454,BIRI-024
CN5455,BIRI-077
CN5456,BIRI-077
CN5457,BIRI-077
CN5459,BIRI-078
CN5460,BIRI-078
CN5461,BIRI-078
CN5462,
CN5463,BIRI-047
CN5464,
CN5465,
CN5469,BIRI-044
CN5469A,BIRI-028
CN5470,BIRI-026
CN5471,BIRI-026
CN5472,BIRI-025
CN5473,BIRI-041
CN5474,BIRI-040
CN5475,BIRI-040
CN5476,BIRI-037
CN5477,BIRI-038
CN5478,BIRI-039
CN5479,BIRI-039
CN5480,BIRI-035
CN5481,BIRI-035
CN5482,BIRI-035
CN5483,BIRI-039
CN5485,BIRI-041
CN5486,BIRI-042
CN5486A,BIRI-042
CN5487,BIRI-042
CN5488,BIRI-042
CN5489,BIRI-029
CN5490,BIRI-043
CN5491,BIRI-043
CN5491A,BIRI-043
CN5492,BIRI-046
CN5492A,BIRI-046
CN5493,BIRI-030
CN5494,BIRI-030
CN5496,BIRI-031
CN5497,BIRI-031
CN5499A,
CN5500,
CN5500A,BIRI-036
CN5501,BIRI-033
CN5501A,BIRI-033
CN5502,BIRI-033
CN5503,BIRI-032
CN5503A,BIRI-032
