short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
LUCA-145,Nr,9999.0,0.96,1742.57
LUCA-146,C,10.9,0.95,120.43
LUCA-147,B,0.0,0.0,57.94
LUCA-148,Nr,0.0,0.0,55.42
LUCA-149,B,10.15,0.95,74.33
LUCA-150,B,10.15,0.95,56.94
LUCA-151,Nr,0.0,0.0,160.85
LUCA-152,B,0.0,0.0,70.64
LUCA-153,B,0.0,0.95,306.69
LUCA-154,B,11.3,0.95,63.18
LUCA-155,Ne,0.0,0.95,507.68
LUCA-156,Ne,16.35,0.95,307.34
LUCA-157,Or,14.0,0.95,485.46
LUCA-158,Or,15.55,0.95,100.98
LUCA-159,pt,11.53,0.95,188.77
LUCA-160,Or,14.46,0.95,88.58
LUCA-161,Or,9.9,0.95,51.5
LUCA-162,A,18.68,0.95,246.56
LUCA-163,Or,13.39,0.95,236.22
LUCA-164,O,10.13,0.95,39.75
LUCA-165,Bg,0.0,0.95,79.31
LUCA-166,O,9.95,0.95,126.52
LUCA-167,O,7.75,0.95,67.53
LUCA-168,Bg,0.0,0.0,91.16
LUCA-169,Bg,16.66,0.95,98.54
LUCA-170,O,4.75,0.95,47.44
LUCA-171,Nd,16.73,0.95,123.38
LUCA-172,B,0.0,0.95,196.51
LUCA-173,Nd,17.25,0.95,110.34
LUCA-174,C,10.4,0.95,41.09
LUCA-175,C,5.04,0.95,39.99
LUCA-176,C,14.04,0.95,13.41
LUCA-177,C,19.7,0.95,248.38
LUCA-178,D,14.76,0.95,630.07
LUCA-179,C,0.0,0.95,55.69
LUCA-180,pt,13.0,0.95,34.83
LUCA-181,pt,13.0,0.95,34.83
LUCA-182,B,0.0,0.95,105.75
LUCA-183,pt,0.0,0.95,144.19
LUCA-184,fa,10.14,0.95,75.67
LUCA-185,B,0.0,0.95,55.73
LUCA-186,pt,15.3,0.95,147.37
LUCA-187,fa,15.44,0.95,68.65
LUCA-188,pt,14.4,0.95,98.63
LUCA-189,Bg,0.0,0.85,85.99
LUCA-190,pt,14.68,0.95,269.22
LUCA-191,Or,16.7,0.85,146.28
LUCA-192,pt,0.0,0.95,209.44
LUCA-193,pt,15.45,0.85,149.99
LUCA-194,Or,4.55,0.85,52.36
LUCA-195,pt,0.0,0.0,108.48
LUCA-196,B,8.07,0.85,88.49
LUCA-197,Or,16.0,0.95,1189.69
LUCA-198,Or,18.9,0.95,158.04
LUCA-199,fa,10.34,1.15,225.82
LUCA-200,SU,17.15,1.05,480.65
LUCA-201,fa,9.25,1.05,73.6
LUCA-202,B,10.37,1.05,51.06
LUCA-203,B,29.1,1.05,21.6
LUCA-204,fa,10.64,1.05,59.1
LUCA-205,SU,14.64,1.05,69.6
LUCA-206,C,0.0,0.95,387.27
LUCA-207,C,12.7,1.0,177.51
LUCA-208,C,0.0,0.95,527.25
LUCA-209,B,16.0,0.95,95.13
LUCA-210, ,12.5,0.85,3.75
LUCA-211,B,0.0,0.0,71.35
LUCA-212,C,16.27,0.95,138.94
LUCA-213,C,0.0,0.0,79.93
LUCA-214,A,0.0,0.0,106.03
LUCA-215,C,11.52,0.95,89.97
LUCA-216,A,0.0,0.0,32.82
LUCA-217,A,0.0,0.0,34.87
LUCA-218,A,0.0,0.0,29.04
LUCA-219,A,0.0,0.0,36.61
LUCA-220,A,0.0,0.0,32.61
LUCA-221,A,0.0,0.0,27.9
LUCA-222,B,11.0,0.95,67.7
LUCA-223,C,14.0,0.95,316.01
LUCA-224,C,14.77,0.95,144.73
LUCA-225,Nd,0.0,1.95,22.5
LUCA-226,Nd,14.56,0.95,155.53
LUCA-227,Nd,0.0,0.0,9.12
LUCA-228,Ne,9999.0,0.95,1518.1
LUCA-229,Nd,9999.0,0.0,1379.21
LUCA-230,Ne,9999.0,0.95,1527.26
LUCA~NO_BUILDING,,,,
