Full_sesti,short_alias
CN6003A,CANC-042
CN6004,
CN6004A,CANC-036
CN6005,CANC-035
CN6006,CANC-034
CN6006A,CANC-034
CN6007,CANC-037
CN6008,CANC-038
CN6008A,CANC-038
CN6009,CANC-039
CN6009A,CANC-039
CN6010,
CN6011,CANC-041
CN6012,CANC-041
CN6013,CANC-040
CN6014,CANC-040
CN6015,CANC-039
CN6016,CANC-045
CN6017,CANC-045
CN6019,CANC-046
CN6020,CANC-046
CN6020A,CANC-044
CN6021,CANC-043
CN6022,CANC-043
CN6023,CANC-043
CN6024,CANC-043
CN6025,CANC-051
CN6025A,CANC-051
CN6026,CANC-051
CN6026A,CANC-048
CN6027,CANC-047
CN6028,CANC-047
CN6029,
CN6029B,CANC-110
CN6029C,CANC-110
CN6029D,CANC-109
CN6030,CANC-049
CN6031,CANC-050
CN6032,CANC-050
CN6032A,CANC-050
CN6033,CANC-050
CN6034,CANC-049
CN6035,CANC-049
CN6036,CANC-109
CN6039,CANC-108
CN6040,CANC-108
CN6041A,CANC-108
CN6042,CANC-107
CN6043,CANC-107
CN6043B,CANC-107
CN6044,CANC-107
CN6045,CANC-107
CN6045A,CANC-107
CN6049,CANC-106
CN6051,CANC-106
CN6052,CANC-113
CN6053,CANC-106
CN6055,CANC-113
CN6055A,CANC-114
CN6056,CANC-113
CN6057,
CN6058,
CN6059,CANC-128
CN6060,CANC-112
CN6060A,CANC-112
CN6060B,CANC-112
CN6061,CANC-111
CN6062,CANC-111
CN6063,CANC-111
CN6064,CANC-111
CN6065,
CN6066,CANC-129
CN6066A,CANC-129
CN6066B,CANC-129
CN6066C,CANC-129
