short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
LEON-099,fa,13.46,51.43,"CN1213, CN1214",5
LEON-100, ,15.71,165.77,none,6
LEON-101,Knt,4.69,120.36,none,2
LEON-102,Nr,11.32,35.18,"CN1211, CN1212",4
LEON-103,Kna,11.18,95.61,"CN1198B, CN1198C",4
LEON-104,fa,13.65,260.57,"CN1190, CN1191, CN1192, CN1192A, CN1193",5
LEON-105,Ne,15.06,207.17,"CN1326, CN1327, CN1328, CN1329, CN1330, CN1331",6
LEON-106,Ne,9.81,300.49,none,4
LEON-107,fa,14.58,43.78,"CN1196, CN1196A",5
LEON-108,A,15.59,29.12,"CN1195, CN1195A",6
LEON-109,Kna,6.22,32.44,none,3
LEON-110,B,10.43,80.52,none,4
LEON-111,Ne,11.85,25.44,none,4
LEON-112,Knt,9.56,142.22,none,4
LEON-113,Nd,4.58,27.52,none,2
LEON-114,B,14.64,86.92,CN1333C,5
LEON-115,A,15.41,57.2,none,6
LEON-116,A,0.0,55.08,none,1
LEON-117,fa,14.92,308.96,"CN1332, CN1333, CN1333B",5
LEON-118,Ka,5.37,134.62,none,2
LEON-119,B,13.31,351.83,CN1334,5
LEON-120,Ne,5.2,380.39,none,2
LEON-121,Ka,4.19,29.98,none,2
LEON-122,Knt,4.28,28.2,none,2
LEON-123,Nr,7.13,147.82,CN1334B,3
LEON-124,Ne,6.6,90.39,none,3
LEON-125,Knt,4.2,49.03,CN1334D,2
LEON-126,Ne,13.93,752.32,"CN1345, CN1345A, CN1345B, CN1345C, CN1345D, CN1345E",5
LEON-127,Ne,11.61,126.7,"CN1344A, CN1344B, CN1344C",4
LEON-128,A,11.23,164.19,"CN1335, CN1336, CN1337, CN1338",4
LEON-129,A1,9.9,48.81,CN1344,4
LEON-130,B,7.38,47.53,CN1343,3
LEON-131,B,0.0,59.35,CN1342,1
LEON-132,B,7.5,82.67,CN1341,3
LEON-133,A,7.49,21.36,CN1340,3
LEON-134,A,7.68,14.97,none,3
LEON-135,A,0.0,35.77,CN1339,1
LEON-136,Nr,0.0,395.22,none,1
LEON-137,O,16.3,275.97,"CN888, CN888A, CN888B",6
LEON-138,SM,7.22,33.38,CN891,3
LEON-139,Ka,0.0,697.63,"CN889, CN890",1
LEON-140,SM,6.0,31.3,none,2
LEON-141,A,11.04,91.22,CN894,4
LEON-142,Ka/pt,11.5,36.66,CN895,4
LEON-143,SM,9999.0,8481.03,"CN892, CN893",3333
LEON-144,Knt,11.6,123.16,CN896,4
LEON-145,Knt,5.01,38.5,CN899,2
LEON-146,A,8.14,67.67,"CN897, CN898, CN906, CN907, CN908",3
LEON-147,A,6.68,82.41,CN909,3
LEON-148,Knt,4.43,124.92,"CN900A, CN901",2
LEON-149,A,6.57,63.21,none,3
LEON-150,Ne,10.66,62.15,"CN910, CN911",4
LEON-151,Nr,10.35,91.04,"CN904, CN904A, CN905, CN905A",4
LEON-152,Ne,10.01,45.58,"CN914, CN915",4
LEON-153,Ne,7.94,109.2,"CN912, CN912A, CN912B",3
LEON-154,Nr,14.27,178.17,CN902,5
LEON-155,Nr,7.33,41.3,none,3
LEON-156,Nr,15.74,404.18,"CN915C, CN915D, CN915E, CN915F, CN915G, CN915H, CN915I",6
LEON-157,C,14.62,239.62,"CN921, CN923",5
LEON-158,SM,0.0,260.68,CN2974D,1
LEON-159,Nd,5.01,71.71,CN920A,2
LEON-160,Knt,0.0,214.98,CN924,1
LEON-161,Nr,16.5,509.75,"CN916A, CN916B, CN916C, CN916D, CN916E, CN916F, CN916G, CN916H, CN916I, CN916L",6
LEON-162,Ne,0.0,87.53,CN925,1
LEON-163,,4.93,71.27,none,2
LEON-164,Nr,0.0,345.77,CN917,1
LEON-165,Knt,4.13,53.35,none,2
LEON-166,Nr,0.0,353.98,"CN928, CN929, CN930",1
LEON-167,,3.51,7.18,none,2
LEON-168,Nr,0.0,172.79,CN927,1
LEON-169,Nr,0.0,87.4,none,1
LEON-170,Knt,9999.0,10896.07,"CN931, CN932, CN932A, CN933, CN933A",3333
LEON-171,Knt,3.9,120.46,none,2
LEON-172,Nr,0.0,321.56,none,1
LEON-173,Nr,12.5,228.15,CN917C,5
LEON-174,Nr,9999.0,20132.11,"CN2978G, CN2978H, CN2978L, CN2978M, CN917A",3333
LEON-175,pt,9999.0,11110.33,"CN934, CN935, CN936, CN937, CN938",3333
LEON-176,Bg,9999.0,16872.83,CN939,3333
LEON-177,Bg,9999.0,16540.45,"CN946, CN947",3333
LEON-178,Nr,9999.0,18962.59,CN2978E,3333
LEON-179,fa,9999.0,16604.09,none,3333
LEON-180, ,9999.0,16306.72,CN948,3333
LEON-181,Nr,9999.0,18584.59,none,3333
LEON-182, ,7.13,57.11,CN949,3
LEON-183, ,7.33,58.15,none,3
LEON-184,B,9.12,161.22,"CN658A, CN950, CN951, CN952, CN956, CN957, CN957A, CN959",4
LEON-185, ,9999.0,10884.61,none,3333
LEON-186,B1,11.56,134.38,"CN961, CN962, CN963, CN964, CN965, CN966",4
LEON-187, ,4.3,33.54,none,2
LEON-188,fa,8.01,58.9,CN960,3
LEON-189,Knt,6.64,27.72,none,3
LEON-190,fa,9.63,88.15,none,4
