short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
CASS-092,Bg,16.09,168.3,"SP1542, SP1543, SP1544, SP1545",6
CASS-093,Bg,0.0,73.29,"SP1552, SP1553, SP1554",1
CASS-094,C,14.3,208.41,none,5
CASS-095,C,11.0,80.52,SP1546,4
CASS-096,Bg,13.63,76.41,SP1555,5
CASS-097,C,17.36,280.98,"SP1547, SP1548, SP1549, SP1550, SP1551, SP1556, SP1557A",6
CASS-098,C,0.0,3.1,none,1
CASS-099,C,0.0,628.2,"SP1942, SP1943, SP1944",1
CASS-100,A,12.73,195.82,none,5
CASS-101,A,0.0,42.88,none,1
CASS-102,C,14.24,69.34,SP1941,5
CASS-103,A,9.6,82.03,SP1945,4
CASS-104,A,9.6,46.76,none,4
CASS-105,C,0.0,660.62,"SP1939, SP1940",1
CASS-106,Or,12.0,235.27,SP1950A,4
CASS-107,A,11.42,59.08,none,4
CASS-108,pt,14.27,71.54,SP1943A,5
CASS-109,fa,12.7,211.05,"SP1946, SP1947, SP1948, SP1949",5
CASS-110,pt,15.09,153.02,"SP1708, SP1709, SP1710, SP1711, SP1758, SP1759",6
CASS-111,pt,13.12,57.89,"SP1686, SP1760",5
CASS-112,pt,16.0,70.18,"SP1684, SP1685, SP1761, SP1762",6
CASS-113,pt,0.0,42.64,"SP1687, SP1688",1
CASS-114,C,14.37,83.83,"SP1677, SP1678, SP1763",5
CASS-115,B,14.05,45.45,SP1689,5
CASS-116,B,13.78,119.62,"SP1700, SP1701, SP1702, SP1703, SP1704, SP1705, SP1706",5
CASS-117,B,13.55,95.96,"SP1675A, SP1676, SP1764, SP1765, SP1766",5
CASS-118,pt,15.0,122.99,"SP1679, SP1680, SP1681, SP1682, SP1683",5
CASS-119,B,15.6,50.47,"SP1675, SP1767",6
CASS-120,B,0.0,79.4,"SP1690, SP1697, SP1698, SP1699",1
CASS-121,B,0.0,115.73,"SP1667, SP1668, SP1669, SP1670",1
CASS-122,B,0.0,73.05,"SP1690A, SP1694, SP1695, SP1696",1
CASS-123,C,14.77,87.98,"SP1674, SP1767A, SP1768",5
CASS-124,Ka/A1,0.0,68.73,"SP1665, SP1666, SP1671, SP1672",1
CASS-125,B,0.0,81.79,"SP1691, SP1692, SP1693",1
CASS-126,Bg,0.0,70.85,"SP1664B, SP1673",1
CASS-127,B,0.0,75.19,"SP1658, SP1659, SP1660",1
CASS-128,Ne,16.48,204.0,"SP1633, SP1633A, SP1769, SP1770, SP1771",6
CASS-129,C,16.51,106.32,"SP1634, SP1635, SP1664A",6
CASS-130,Bg,0.0,124.7,"SP1654A, SP1655, SP1656, SP1657, SP1662, SP1663",1
CASS-131,Bg,17.14,87.46,"SP1653, SP1654, SP1664",6
CASS-132,Bg,0.0,85.16,"SP1651, SP1652",1
