Full_sesti,short_alias
DD2384,NICO-137
DD2385,
DD2386,NICO-139
DD2387,NICO-139
DD2389,NICO-142
DD2390,NICO-142
DD2390A,NICO-140
DD2391,NICO-140
DD2392,NICO-142
DD2393,NICO-140
DD2394,NICO-143
DD2394A,NICO-148
DD2394B,NICO-147
DD2394D,NICO-134
DD2395,NICO-135
DD2396,NICO-135
DD2397,NICO-135
DD2398,NICO-135
DD2399,NICO-135
DD2400,NICO-135
DD2401,NICO-135
DD2402,NICO-135
DD2403,
DD2403A,NICO-132
DD2403B,NICO-131
DD2403C,NICO-132
DD2403D,NICO-133
DD2403E,NICO-133
DD2403F,NICO-133
DD2403H,NICO-131
DD2404B,NICO-172
DD2405,NICO-172
DD2405A,NICO-172
DD2406,NICO-172
DD2406A,NICO-167
DD2406B,NICO-169
DD2406C,NICO-169
DD2406D,NICO-169
DD2406F,NICO-169
DD2447A,NICO-162
DD2447B,NICO-163
DD2447C,NICO-163
DD2447D,NICO-163
DD2447E,NICO-163
DD2447I,
DD2530,
DD2531,NICO-155
DD2532,NICO-155
DD2533,NICO-155
DD2534,NICO-156
DD2535,NICO-156
DD2536,NICO-156
DD2536A,NICO-156
DD2536B,NICO-156
DD2537,
DD2538,NICO-144
DD2539,NICO-143
DD2540,NICO-143
DD2540A,NICO-142
DD2540B,NICO-141
