short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ORME-098,Bg,10.75,70.36,"CN2632, CN2633",4
ORME-099,C,0.0,97.84,CN2634,1
ORME-100,B,10.9,225.12,"CN2663, CN2664, CN2665, CN2665A",4
ORME-101,C,0.0,64.48,"CN2635, CN2636",1
ORME-102,A,9.47,38.91,CN2642,4
ORME-103,C,11.0,143.04,"CN2627, CN2628",4
ORME-104,D,0.0,108.61,CN2638,1
ORME-105,B,4.31,251.07,none,2
ORME-106,Nr,15.62,180.27,"CN2640, CN2641, CN2642A",6
ORME-107,Bg,0.0,207.11,"CN2773A, CN2774, CN2775, CN2778, CN2779, CN2780, CN2782",1
ORME-108,C,0.0,139.12,"CN2772, CN2772A, CN2773, CN2773B, CN2783, CN2784A",1
ORME-109,C,0.0,142.77,"CN2770, CN2771, CN2784, CN2784B",1
ORME-110,C,9999.0,95.91,"CN2768, CN2769, CN2785, CN2785A, CN2786",3333
ORME-111,C,13.08,171.08,"CN2765A, CN2766, CN2767, CN2787, CN2787A",5
ORME-112,C,9999.0,346.76,"CN2871, CN2872",3333
ORME-113,C,10.5,137.14,"CN2869, CN2870, CN2870A",4
ORME-114,C,0.0,134.13,"CN2867, CN2868",1
ORME-115,Ne,0.0,114.36,CN2866,1
ORME-116,Ne,0.0,121.31,CN2865,1
ORME-117,C,0.0,138.72,"CN2863, CN2863A, CN2863B, CN2864",1
ORME-118,C,11.6,144.49,"CN2861, CN2862, CN2862A",4
ORME~NO_BUILDING,,,,"CN2637, CN2639, CN2649, CN2666A, CN2704A, CN2704C, CN2707, CN2725A, CN2727, CN2746, CN2788, CN2789, CN2819B, CN2857",
