Full_sesti,short_alias
CN294,GERE-383
CN295,GERE-383
CN296,GERE-384
CN297,GERE-384
CN298,GERE-396
CN299,GERE-396
CN300,GERE-396
CN301,GERE-395
CN302,
CN303,GERE-304
CN304,GERE-305
CN305,GERE-381
CN306,GERE-381
CN307,GERE-381
CN308,GERE-380
CN309,GERE-380
CN310,GERE-380
CN311,GERE-380
CN312,GERE-379
CN313,GERE-379
CN314,GERE-378
CN315,GERE-378
CN316,GERE-378
CN317,GERE-378
CN318,GERE-378
CN319,GERE-378
CN320,GERE-378
CN321,GERE-378
CN322,GERE-377
CN323,GERE-377
CN324,GERE-377
CN325,GERE-377
CN326,GERE-403
CN326A,GERE-403
CN326B,GERE-403
CN326C,GERE-403
CN327,GERE-403
CN327A,GERE-403
CN328,GERE-375
CN329,GERE-375
CN329A,GERE-375
CN329B,GERE-375
CN330,GERE-402
CN331,GERE-402
CN331A,GERE-401
CN331B,GERE-401
CN332,GERE-401
CN333,GERE-372
CN334,GERE-372
CN336,GERE-378
CN337,GERE-378
CN338,GERE-378
CN339,GERE-378
CN342,GERE-404
CN343,GERE-404
CN344,GERE-404
CN345,
CN346,GERE-303
CN348,GERE-298
CN349,GERE-298
CN350,GERE-298
CN351,GERE-297
CN352,GERE-296
CN353,GERE-206
CN354,
CN355,
CN356,
CN358,
CN358A,
CN359,
CN360,GERE-198
CN361,GERE-198
CN362,GERE-198
CN362A,GERE-198
CN363,GERE-180
CN365,
CN366,GERE-147
CN366A,GERE-180
CN366B,GERE-180
CN366F,GERE-148
CN367,GERE-147
CN367A,GERE-147
CN368,GERE-143
CN368A,GERE-143
CN369,GERE-143
CN370,GERE-143
CN371,
CN372,GERE-145
CN372A,GERE-145
CN373,GERE-145
CN374,
CN375,
CN375A,GERE-179
CN376,GERE-179
CN377,
CN378,GERE-176
CN379,GERE-176
CN380,GERE-176
CN380A,GERE-176
CN381,GERE-175
CN382,GERE-175
CN383,GERE-175
CN384,
CN385,
CN385A,
CN385B,
CN385C,
CN385D,
CN386,
CN386A,
CN387,
CN387A,GERE-169
CN387B,
CN387C,
CN387D,
CN387E,
CN387F,
CN387G,
CN387H,
CN387I,
CN388,GERE-203
CN389,GERE-201
CN390,
CN390A,
CN391,
CN392,
CN393,GERE-204
CN407,GERE-296
CN408,GERE-296
CN409,GERE-296
CN410,GERE-295
CN411,GERE-295
CN412,GERE-294
CN413,GERE-294
CN413A,GERE-294
CN414,GERE-293
CN415,GERE-293
CN416,GERE-292
CN417,GERE-291
CN418,
CN418A,
CN419,GERE-288
CN420,GERE-288
CN421,GERE-287
CN422,GERE-287
CN423,GERE-287
CN424,GERE-286
