short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
NOMB-093,B,3.78,141.66,"SP2707, SP2708, SP2712, SP2712A",2
NOMB-094,C,14.43,217.66,"SP2709, SP2709A, SP2710, SP2711",5
NOMB-095, ,10.39,2.98,none,4
NOMB-096,Bg,9999.0,536.31,"SP2655, SP2655A, SP2656, SP2657, SP2658, SP2658A",3333
NOMB-097,fa,8.12,19.83,SP2658B,3
NOMB-098,Bg,9999.0,173.15,"SP2659, SP2659A, SP2660",3333
NOMB-099,B,11.38,89.95,"SP2671, SP2671A, SP2671B, SP2671C",4
NOMB-100,A,16.12,286.08,"SP2654, SP2654A, SP2654B, SP2661, SP2662, SP2663",6
NOMB-101,Nr,11.18,53.27,"SP2672C, SP2673, SP2674",4
NOMB-102,B,11.6,109.4,"SP2672A, SP2672B, SP2730B, SP2731",4
NOMB-103,A,14.35,59.26,"SP2664, SP2665",5
NOMB-104,A,13.95,174.3,"SP2675, SP2724, SP2725, SP2727, SP2728, SP2729, SP2730",5
NOMB-105,A,0.0,50.72,SP2666,1
NOMB-106,C,9999.0,39741.23,"SP2672, SP2732",3333
NOMB-107,B,13.1,110.67,none,5
NOMB-108,A,0.0,47.98,SP2667,1
NOMB-109,A,9.8,48.84,"SP2735, SP2736, SP2736B",4
NOMB-110,A,14.13,63.17,"SP2669, SP2670",5
NOMB-111,Or,13.0,116.41,"SP2733, SP2733A",5
NOMB-112,A,0.0,43.34,SP2734A,1
NOMB-113,A,0.0,35.41,"SP2734C, SP2738",1
NOMB-114,A,0.0,46.09,"SP2739, SP2740, SP2740A, SP2740B",1
NOMB~NO_BUILDING,,,,"SP2580, SP2609, SP2622, SP2668, SP2678, SP2680C, SP2714, SP2714A, SP2716, SP2730A, SP2757, SP2757A, SP2766, SP2774, SP2775, SP2778, SP2779, SP2780, SP2781, SP2787, SP2788",
