short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ELEN-118,Nr,0.0,324.3,"CS2, CS4, CS6, CS67, CS68, CS70, CS71, CS72, CS73, CS8",1
ELEN-119,Ne,9.75,52.01,none,4
ELEN-120,Ne,8.75,54.75,none,3
ELEN-121,Nr,17.14,745.42,"CS74, CS75, CS76, CS77, CS78, CS79, CS80, CS81, CS82, CS83, CS84, CS85, CS86, CS87, CS88, CS89",6
ELEN-122,Ne,0.0,973.1,"CS10, CS10A",1
ELEN-123,Ne,6.79,75.7,none,3
ELEN-124,Ne,6.0,51.23,none,2
ELEN-125,Ne,0.0,211.25,CS21,1
ELEN-126,Nr,17.36,437.8,"CS100, CS101, CS102, CS25, CS26, CS27, CS28, CS29, CS30, CS90, CS91, CS92, CS93, CS94, CS95, CS96, CS97, CS98, CS99",6
ELEN-127,Nr,19.02,141.29,"CS1, CS10, CS11, CS12, CS2, CS3, CS9",7
ELEN-128,Nd,4.76,24.77,CS7,2
ELEN-129,Nr,16.55,91.43,CS4,6
ELEN-130,Nr,20.0,271.64,CS9,7
ELEN-131,Nd,4.26,9.17,none,2
ELEN-132,Nd,4.43,5.09,none,2
ELEN-133,Nr,8.86,72.9,CS11A,3
ELEN-134,Nd,16.62,290.38,"CS10, CS12",6
ELEN-135,Nd,0.0,8.91,none,1
ELEN-136,Nd,0.0,49.3,none,1
ELEN-137,Nr,11.9,65.33,none,4
ELEN-138,Nd,0.0,23.69,none,1
ELEN-139,Nd,0.0,40.09,none,1
ELEN-140,Nd,0.0,59.09,none,1
ELEN-141,Nd,5.5,43.05,none,2
ELEN-142,Ne,16.62,263.8,CS22,6
ELEN-143,Nd,5.87,23.6,none,2
ELEN-144,Ne,0.0,367.26,"CS11, CS7, CS9",1
ELEN-145,Nr,8.78,89.31,"CS1A, CS1B",3
ELEN-146,Nd,4.72,7.95,none,2
ELEN-147,Nr,9.43,136.45,none,4
ELEN-148,Nr,10.29,318.93,none,4
ELEN-149,,0.0,9.59,none,1
ELEN-150,Nr,9999.0,2404.01,none,3333
ELEN-151,Nr,9999.0,1013.85,none,3333
ELEN-152,Nr,9999.0,1873.01,none,3333
ELEN-153,Nd,2.07,16.04,none,1
ELEN-154,Ne,0.0,1.45,CS20,1
ELEN-155,Ne,9999.0,497.85,"CS21, CS22",3333
ELEN-156,Ne,21.61,33.34,none,8
ELEN-157,Ne,16.5,305.29,"CS14, CS15, CS16, CS17, CS18, CS19, CS2, CS4",6
ELEN-158,Ne,23.6,444.02,"CS1, CS11, CS23, CS24, CS25, CS26, CS27, CS28, CS29, CS3, CS5, CS7, CS9",8
ELEN-159,Ne,6.24,17.27,CS6,3
ELEN-160,Nr,9.28,45.65,none,4
ELEN-161,Ne,10.61,50.64,none,4
ELEN-162,Nr,15.52,192.55,"CS2, CS2A",6
ELEN-163,Ne,20.0,361.29,"CS1, CS10, CS11, CS12, CS13, CS1A, CS1B",7
ELEN-164,Ne,16.2,221.21,"CS14, CS15, CS6, CS7, CS8, CS9",6
ELEN-165,Ne,19.0,166.65,none,7
ELEN-166,Nr,18.0,159.64,none,6
ELEN-167,Ne,16.1,153.04,none,6
ELEN-168,Ne,9.12,66.36,CS5,4
ELEN-169,Ne,0.0,153.89,CS2,1
ELEN-170,Ne,13.38,235.21,CS8,5
ELEN-171,Nr,15.73,145.73,none,6
ELEN-172,Ne,16.07,139.46,CS2,6
ELEN-173,Nr,12.3,216.01,CS12,5
ELEN-174,Nr,15.73,145.53,none,6
ELEN-175,Ne,12.86,131.31,"CS4, CS4A",5
ELEN-176,Nr,16.12,161.44,none,6
ELEN-177,Ne,12.66,83.64,none,5
ELEN-178,Ne,12.77,214.14,CS1,5
ELEN-179,Ne,16.02,236.64,CS10,6
ELEN-180,Ne,13.12,107.42,"CS11, CS3",5
ELEN-181,Nr,13.55,144.78,none,5
ELEN-182,Ne,13.12,141.75,none,5
ELEN-183,Nr,17.0,207.53,CS10,6
ELEN-184,Ne,15.9,237.3,"CS2, CS4, CS6, CS8",6
ELEN-185,Nr,13.06,155.61,"CS1, CS3, CS5",5
ELEN-186,Nr,20.0,269.41,CS3,7
ELEN-187,Nr,16.55,218.65,CS1,6
ELEN-188,Nr,19.34,154.75,none,7
ELEN-189,Nr,16.73,200.11,none,6
ELEN-190,Nr,16.93,147.31,none,6
