Full_sesti,short_alias
CS4152,LORE-024
CS4153,LORE-024
CS4154,LORE-024
CS5057,LORE-006
CS5058,LORE-006
CS5059,LORE-006
CS5060,LORE-006
CS5061,LORE-006
CS5062,LORE-004
CS5063,LORE-004
CS5063A,LORE-004
CS5063B,LORE-130
CS5064,
CS5064A,
CS5064B,
CS5065,LORE-129
CS5065A,LORE-128
CS5065B,LORE-128
CS5065C,LORE-128
CS5065D,LORE-128
CS5065E,LORE-128
CS5065G,LORE-127
CS5065H,LORE-127
CS5065I,LORE-127
CS5065M,LORE-127
CS5066,LORE-129
CS5067,LORE-129
CS5068,LORE-129
CS5069,
CS5069A,LORE-133
CS5069B,LORE-133
CS5069C,LORE-133
CS5070,LORE-003
CS5070A,LORE-003
CS5071C,LORE-003
